date,value,dataelement_text,ratelevel_text,industry_text,state_text,sizeclass_text,val_type_text
2024-10-01,0.1568627450980391,Hires,Rate,Total nonfarm,Michigan,All size classes,yoy_map
2024-10-01,0.07638888888888906,Hires,Rate,Total nonfarm,Montana,All size classes,yoy_map
2024-10-01,0.018018018018018056,Hires,Rate,Total nonfarm,Colorado,All size classes,yoy_map
2024-10-01,0.010204081632652962,Hires,Rate,Total nonfarm,Massachusetts,All size classes,yoy_map
2024-10-01,0.009900990099010132,Hires,Rate,Total nonfarm,Kansas,All size classes,yoy_map
2024-10-01,0,Hires,Rate,Total nonfarm,Nevada,All size classes,yoy_map
2024-10-01,0,Hires,Rate,Total nonfarm,Washington,All size classes,yoy_map
2024-10-01,-0.006369426751592355,Hires,Rate,Total nonfarm,Alaska,All size classes,yoy_map
2024-10-01,-0.017094017094017033,Hires,Rate,Total nonfarm,Maryland,All size classes,yoy_map
2024-10-01,-0.021126760563380365,Hires,Rate,Total nonfarm,Idaho,All size classes,yoy_map
2024-10-01,-0.02298850574712641,Hires,Rate,Total nonfarm,New York,All size classes,yoy_map
2024-10-01,-0.024390243902439157,Hires,Rate,Total nonfarm,Vermont,All size classes,yoy_map
2024-10-01,-0.028037383177569986,Hires,Rate,Total nonfarm,Connecticut,All size classes,yoy_map
2024-10-01,-0.03539823008849563,Hires,Rate,Total nonfarm,Indiana,All size classes,yoy_map
2024-10-01,-0.036036036036036,Hires,Rate,Total nonfarm,New Mexico,All size classes,yoy_map
2024-10-01,-0.03731343283582078,Hires,Rate,Total nonfarm,Wyoming,All size classes,yoy_map
2024-10-01,-0.0454545454545453,Hires,Rate,Total nonfarm,Maine,All size classes,yoy_map
2024-10-01,-0.04651162790697683,Hires,Rate,Total nonfarm,Rhode Island,All size classes,yoy_map
2024-10-01,-0.0490196078431373,Hires,Rate,Total nonfarm,Illinois,All size classes,yoy_map
2024-10-01,-0.05128205128205132,Hires,Rate,Total nonfarm,South Dakota,All size classes,yoy_map
2024-10-01,-0.05128205128205132,Hires,Rate,Total nonfarm,Utah,All size classes,yoy_map
2024-10-01,-0.05147058823529416,Hires,Rate,Total nonfarm,South Carolina,All size classes,yoy_map
2024-10-01,-0.05932203389830526,Hires,Rate,Total nonfarm,New Hampshire,All size classes,yoy_map
2024-10-01,-0.061855670103092675,Hires,Rate,Total nonfarm,Pennsylvania,All size classes,yoy_map
2024-10-01,-0.06299212598425208,Hires,Rate,Total nonfarm,Mississippi,All size classes,yoy_map
2024-10-01,-0.06363636363636371,Hires,Rate,Total nonfarm,Nebraska,All size classes,yoy_map
2024-10-01,-0.06837606837606847,Hires,Rate,Total nonfarm,Virginia,All size classes,yoy_map
2024-10-01,-0.06870229007633588,Hires,Rate,Total nonfarm,Arkansas,All size classes,yoy_map
2024-10-01,-0.07207207207207211,Hires,Rate,Total nonfarm,Oregon,All size classes,yoy_map
2024-10-01,-0.07608695652173902,Hires,Rate,Total nonfarm,California,All size classes,yoy_map
2024-10-01,-0.0873786407766991,Hires,Rate,Total nonfarm,Missouri,All size classes,yoy_map
2024-10-01,-0.09022556390977432,Hires,Rate,Total nonfarm,Delaware,All size classes,yoy_map
2024-10-01,-0.09090909090909094,Hires,Rate,Total nonfarm,Hawaii,All size classes,yoy_map
2024-10-01,-0.09302325581395343,Hires,Rate,Total nonfarm,Tennessee,All size classes,yoy_map
2024-10-01,-0.094890510948905,Hires,Rate,Total nonfarm,West Virginia,All size classes,yoy_map
2024-10-01,-0.09708737864077677,Hires,Rate,Total nonfarm,Iowa,All size classes,yoy_map
2024-10-01,-0.10576923076923073,Hires,Rate,Total nonfarm,Wisconsin,All size classes,yoy_map
2024-10-01,-0.10989010989010994,Hires,Rate,Total nonfarm,District of Columbia,All size classes,yoy_map
2024-10-01,-0.11016949152542377,Hires,Rate,Total nonfarm,North Carolina,All size classes,yoy_map
2024-10-01,-0.11333333333333329,Hires,Rate,Total nonfarm,Oklahoma,All size classes,yoy_map
2024-10-01,-0.11904761904761918,Hires,Rate,Total nonfarm,Florida,All size classes,yoy_map
2024-10-01,-0.12396694214876014,Hires,Rate,Total nonfarm,North Dakota,All size classes,yoy_map
2024-10-01,-0.1280000000000001,Hires,Rate,Total nonfarm,Alabama,All size classes,yoy_map
2024-10-01,-0.13235294117647067,Hires,Rate,Total nonfarm,Georgia,All size classes,yoy_map
2024-10-01,-0.14035087719298256,Hires,Rate,Total nonfarm,Ohio,All size classes,yoy_map
2024-10-01,-0.14406779661016955,Hires,Rate,Total nonfarm,Minnesota,All size classes,yoy_map
2024-10-01,-0.15748031496062997,Hires,Rate,Total nonfarm,Texas,All size classes,yoy_map
2024-10-01,-0.16129032258064502,Hires,Rate,Total nonfarm,Arizona,All size classes,yoy_map
2024-10-01,-0.16447368421052622,Hires,Rate,Total nonfarm,Louisiana,All size classes,yoy_map
2024-10-01,-0.16541353383458646,Hires,Rate,Total nonfarm,Kentucky,All size classes,yoy_map
2024-10-01,-0.20175438596491213,Hires,Rate,Total nonfarm,New Jersey,All size classes,yoy_map
