date,value,dataelement_text,ratelevel_text,industry_text,state_text,sizeclass_text,val_type_text
2024-11-01,5.266666666666667,Hires,Rate,Total nonfarm,Montana,All size classes,cur_map
2024-11-01,5.2,Hires,Rate,Total nonfarm,Alaska,All size classes,cur_map
2024-11-01,4.633333333333333,Hires,Rate,Total nonfarm,Idaho,All size classes,cur_map
2024-11-01,4.566666666666666,Hires,Rate,Total nonfarm,Wyoming,All size classes,cur_map
2024-11-01,4.3,Hires,Rate,Total nonfarm,Louisiana,All size classes,cur_map
2024-11-01,4.3,Hires,Rate,Total nonfarm,South Carolina,All size classes,cur_map
2024-11-01,4.2,Hires,Rate,Total nonfarm,West Virginia,All size classes,cur_map
2024-11-01,4.1000000000000005,Hires,Rate,Total nonfarm,Nevada,All size classes,cur_map
2024-11-01,4.1000000000000005,Hires,Rate,Total nonfarm,Oklahoma,All size classes,cur_map
2024-11-01,4.1,Hires,Rate,Total nonfarm,Rhode Island,All size classes,cur_map
2024-11-01,3.9666666666666663,Hires,Rate,Total nonfarm,Mississippi,All size classes,cur_map
2024-11-01,3.9333333333333336,Hires,Rate,Total nonfarm,Indiana,All size classes,cur_map
2024-11-01,3.9333333333333336,Hires,Rate,Total nonfarm,Maine,All size classes,cur_map
2024-11-01,3.9,Hires,Rate,Total nonfarm,Arkansas,All size classes,cur_map
2024-11-01,3.9,Hires,Rate,Total nonfarm,Delaware,All size classes,cur_map
2024-11-01,3.9,Hires,Rate,Total nonfarm,Vermont,All size classes,cur_map
2024-11-01,3.8666666666666667,Hires,Rate,Total nonfarm,Michigan,All size classes,cur_map
2024-11-01,3.8333333333333335,Hires,Rate,Total nonfarm,Georgia,All size classes,cur_map
2024-11-01,3.8000000000000003,Hires,Rate,Total nonfarm,Colorado,All size classes,cur_map
2024-11-01,3.766666666666667,Hires,Rate,Total nonfarm,New Mexico,All size classes,cur_map
2024-11-01,3.766666666666667,Hires,Rate,Total nonfarm,South Dakota,All size classes,cur_map
2024-11-01,3.733333333333333,Hires,Rate,Total nonfarm,North Dakota,All size classes,cur_map
2024-11-01,3.6999999999999997,Hires,Rate,Total nonfarm,Tennessee,All size classes,cur_map
2024-11-01,3.6999999999999997,Hires,Rate,Total nonfarm,Utah,All size classes,cur_map
2024-11-01,3.6666666666666665,Hires,Rate,Total nonfarm,Kentucky,All size classes,cur_map
2024-11-01,3.6666666666666665,Hires,Rate,Total nonfarm,New Hampshire,All size classes,cur_map
2024-11-01,3.6,Hires,Rate,Total nonfarm,North Carolina,All size classes,cur_map
2024-11-01,3.5666666666666664,Hires,Rate,Total nonfarm,Alabama,All size classes,cur_map
2024-11-01,3.5666666666666664,Hires,Rate,Total nonfarm,Maryland,All size classes,cur_map
2024-11-01,3.5666666666666664,Hires,Rate,Total nonfarm,Oregon,All size classes,cur_map
2024-11-01,3.5,Hires,Rate,Total nonfarm,Arizona,All size classes,cur_map
2024-11-01,3.5,Hires,Rate,Total nonfarm,Kansas,All size classes,cur_map
2024-11-01,3.5,Hires,Rate,Total nonfarm,Virginia,All size classes,cur_map
2024-11-01,3.466666666666667,Hires,Rate,Total nonfarm,Florida,All size classes,cur_map
2024-11-01,3.466666666666667,Hires,Rate,Total nonfarm,Minnesota,All size classes,cur_map
2024-11-01,3.466666666666667,Hires,Rate,Total nonfarm,Nebraska,All size classes,cur_map
2024-11-01,3.4333333333333336,Hires,Rate,Total nonfarm,Texas,All size classes,cur_map
2024-11-01,3.3333333333333335,Hires,Rate,Total nonfarm,Illinois,All size classes,cur_map
2024-11-01,3.266666666666667,Hires,Rate,Total nonfarm,Iowa,All size classes,cur_map
2024-11-01,3.266666666666667,Hires,Rate,Total nonfarm,Missouri,All size classes,cur_map
2024-11-01,3.233333333333333,Hires,Rate,Total nonfarm,Connecticut,All size classes,cur_map
2024-11-01,3.1999999999999997,Hires,Rate,Total nonfarm,Hawaii,All size classes,cur_map
2024-11-01,3.1999999999999997,Hires,Rate,Total nonfarm,Wisconsin,All size classes,cur_map
2024-11-01,3.1666666666666665,Hires,Rate,Total nonfarm,Ohio,All size classes,cur_map
2024-11-01,3.033333333333333,Hires,Rate,Total nonfarm,New Jersey,All size classes,cur_map
2024-11-01,3.033333333333333,Hires,Rate,Total nonfarm,Pennsylvania,All size classes,cur_map
2024-11-01,3.033333333333333,Hires,Rate,Total nonfarm,Washington,All size classes,cur_map
2024-11-01,2.966666666666667,Hires,Rate,Total nonfarm,Massachusetts,All size classes,cur_map
2024-11-01,2.966666666666667,Hires,Rate,Total nonfarm,New York,All size classes,cur_map
2024-11-01,2.8666666666666667,Hires,Rate,Total nonfarm,California,All size classes,cur_map
2024-11-01,2.6333333333333333,Hires,Rate,Total nonfarm,District of Columbia,All size classes,cur_map
