date,value,dataelement_text,ratelevel_text,industry_text,state_text,sizeclass_text,val_type_text
2024-11-01,6.599999999999999,Job Openings,Rate,Total nonfarm,Alaska,All size classes,cur_map
2024-11-01,6.266666666666667,Job Openings,Rate,Total nonfarm,Kentucky,All size classes,cur_map
2024-11-01,6.2,Job Openings,Rate,Total nonfarm,West Virginia,All size classes,cur_map
2024-11-01,6.066666666666666,Job Openings,Rate,Total nonfarm,Arkansas,All size classes,cur_map
2024-11-01,6.033333333333334,Job Openings,Rate,Total nonfarm,Colorado,All size classes,cur_map
2024-11-01,5.866666666666667,Job Openings,Rate,Total nonfarm,Virginia,All size classes,cur_map
2024-11-01,5.833333333333333,Job Openings,Rate,Total nonfarm,New Mexico,All size classes,cur_map
2024-11-01,5.666666666666667,Job Openings,Rate,Total nonfarm,Minnesota,All size classes,cur_map
2024-11-01,5.666666666666667,Job Openings,Rate,Total nonfarm,Missouri,All size classes,cur_map
2024-11-01,5.6000000000000005,Job Openings,Rate,Total nonfarm,South Carolina,All size classes,cur_map
2024-11-01,5.566666666666666,Job Openings,Rate,Total nonfarm,Montana,All size classes,cur_map
2024-11-01,5.533333333333334,Job Openings,Rate,Total nonfarm,Oklahoma,All size classes,cur_map
2024-11-01,5.433333333333334,Job Openings,Rate,Total nonfarm,Alabama,All size classes,cur_map
2024-11-01,5.400000000000001,Job Openings,Rate,Total nonfarm,Wyoming,All size classes,cur_map
2024-11-01,5.3999999999999995,Job Openings,Rate,Total nonfarm,North Carolina,All size classes,cur_map
2024-11-01,5.366666666666667,Job Openings,Rate,Total nonfarm,Maryland,All size classes,cur_map
2024-11-01,5.333333333333333,Job Openings,Rate,Total nonfarm,Louisiana,All size classes,cur_map
2024-11-01,5.3,Job Openings,Rate,Total nonfarm,Delaware,All size classes,cur_map
2024-11-01,5.3,Job Openings,Rate,Total nonfarm,North Dakota,All size classes,cur_map
2024-11-01,5.266666666666667,Job Openings,Rate,Total nonfarm,Mississippi,All size classes,cur_map
2024-11-01,5.233333333333333,Job Openings,Rate,Total nonfarm,Arizona,All size classes,cur_map
2024-11-01,5.166666666666667,Job Openings,Rate,Total nonfarm,Georgia,All size classes,cur_map
2024-11-01,5.166666666666667,Job Openings,Rate,Total nonfarm,Rhode Island,All size classes,cur_map
2024-11-01,5.133333333333334,Job Openings,Rate,Total nonfarm,Idaho,All size classes,cur_map
2024-11-01,5.133333333333333,Job Openings,Rate,Total nonfarm,Maine,All size classes,cur_map
2024-11-01,4.966666666666667,Job Openings,Rate,Total nonfarm,South Dakota,All size classes,cur_map
2024-11-01,4.933333333333334,Job Openings,Rate,Total nonfarm,Kansas,All size classes,cur_map
2024-11-01,4.933333333333334,Job Openings,Rate,Total nonfarm,Oregon,All size classes,cur_map
2024-11-01,4.833333333333333,Job Openings,Rate,Total nonfarm,Tennessee,All size classes,cur_map
2024-11-01,4.8,Job Openings,Rate,Total nonfarm,Ohio,All size classes,cur_map
2024-11-01,4.8,Job Openings,Rate,Total nonfarm,Utah,All size classes,cur_map
2024-11-01,4.766666666666667,Job Openings,Rate,Total nonfarm,New Hampshire,All size classes,cur_map
2024-11-01,4.733333333333333,Job Openings,Rate,Total nonfarm,Nebraska,All size classes,cur_map
2024-11-01,4.7,Job Openings,Rate,Total nonfarm,Michigan,All size classes,cur_map
2024-11-01,4.633333333333334,Job Openings,Rate,Total nonfarm,Massachusetts,All size classes,cur_map
2024-11-01,4.633333333333334,Job Openings,Rate,Total nonfarm,Wisconsin,All size classes,cur_map
2024-11-01,4.633333333333333,Job Openings,Rate,Total nonfarm,Nevada,All size classes,cur_map
2024-11-01,4.633333333333333,Job Openings,Rate,Total nonfarm,Vermont,All size classes,cur_map
2024-11-01,4.566666666666666,Job Openings,Rate,Total nonfarm,District of Columbia,All size classes,cur_map
2024-11-01,4.533333333333333,Job Openings,Rate,Total nonfarm,Florida,All size classes,cur_map
2024-11-01,4.5,Job Openings,Rate,Total nonfarm,Indiana,All size classes,cur_map
2024-11-01,4.466666666666667,Job Openings,Rate,Total nonfarm,New York,All size classes,cur_map
2024-11-01,4.3999999999999995,Job Openings,Rate,Total nonfarm,Illinois,All size classes,cur_map
2024-11-01,4.3999999999999995,Job Openings,Rate,Total nonfarm,New Jersey,All size classes,cur_map
2024-11-01,4.366666666666667,Job Openings,Rate,Total nonfarm,Iowa,All size classes,cur_map
2024-11-01,4.3,Job Openings,Rate,Total nonfarm,Connecticut,All size classes,cur_map
2024-11-01,4.166666666666667,Job Openings,Rate,Total nonfarm,Washington,All size classes,cur_map
2024-11-01,4.133333333333333,Job Openings,Rate,Total nonfarm,Hawaii,All size classes,cur_map
2024-11-01,3.966666666666667,Job Openings,Rate,Total nonfarm,Texas,All size classes,cur_map
2024-11-01,3.9,Job Openings,Rate,Total nonfarm,Pennsylvania,All size classes,cur_map
2024-11-01,3.4666666666666663,Job Openings,Rate,Total nonfarm,California,All size classes,cur_map
