date,value,dataelement_text,ratelevel_text,industry_text,state_text,sizeclass_text,val_type_text
2024-11-01,0.1393939393939394,Job Openings,Rate,Total nonfarm,Kentucky,All size classes,yoy_map
2024-11-01,0.042944785276073816,Job Openings,Rate,Total nonfarm,Missouri,All size classes,yoy_map
2024-11-01,0.011494252873563093,Job Openings,Rate,Total nonfarm,Virginia,All size classes,yoy_map
2024-11-01,0.011111111111111072,Job Openings,Rate,Total nonfarm,Arkansas,All size classes,yoy_map
2024-11-01,-0.014705882352941124,Job Openings,Rate,Total nonfarm,New York,All size classes,yoy_map
2024-11-01,-0.0239520958083832,Job Openings,Rate,Total nonfarm,Alabama,All size classes,yoy_map
2024-11-01,-0.02777777777777779,Job Openings,Rate,Total nonfarm,New Mexico,All size classes,yoy_map
2024-11-01,-0.02877697841726623,Job Openings,Rate,Total nonfarm,Indiana,All size classes,yoy_map
2024-11-01,-0.030864197530864113,Job Openings,Rate,Total nonfarm,Arizona,All size classes,yoy_map
2024-11-01,-0.053030303030303094,Job Openings,Rate,Total nonfarm,Washington,All size classes,yoy_map
2024-11-01,-0.0573248407643312,Job Openings,Rate,Total nonfarm,Kansas,All size classes,yoy_map
2024-11-01,-0.058139534883721034,Job Openings,Rate,Total nonfarm,North Carolina,All size classes,yoy_map
2024-11-01,-0.06329113924050622,Job Openings,Rate,Total nonfarm,Oregon,All size classes,yoy_map
2024-11-01,-0.08092485549132933,Job Openings,Rate,Total nonfarm,Delaware,All size classes,yoy_map
2024-11-01,-0.08666666666666667,Job Openings,Rate,Total nonfarm,District of Columbia,All size classes,yoy_map
2024-11-01,-0.08965517241379317,Job Openings,Rate,Total nonfarm,New Jersey,All size classes,yoy_map
2024-11-01,-0.09659090909090917,Job Openings,Rate,Total nonfarm,North Dakota,All size classes,yoy_map
2024-11-01,-0.09782608695652173,Job Openings,Rate,Total nonfarm,Oklahoma,All size classes,yoy_map
2024-11-01,-0.09999999999999976,Job Openings,Rate,Total nonfarm,Wyoming,All size classes,yoy_map
2024-11-01,-0.10052910052910047,Job Openings,Rate,Total nonfarm,Minnesota,All size classes,yoy_map
2024-11-01,-0.10126582278481011,Job Openings,Rate,Total nonfarm,Nebraska,All size classes,yoy_map
2024-11-01,-0.10240963855421692,Job Openings,Rate,Total nonfarm,South Dakota,All size classes,yoy_map
2024-11-01,-0.10416666666666663,Job Openings,Rate,Total nonfarm,Connecticut,All size classes,yoy_map
2024-11-01,-0.108843537414966,Job Openings,Rate,Total nonfarm,Iowa,All size classes,yoy_map
2024-11-01,-0.11111111111111105,Job Openings,Rate,Total nonfarm,Utah,All size classes,yoy_map
2024-11-01,-0.11180124223602494,Job Openings,Rate,Total nonfarm,New Hampshire,All size classes,yoy_map
2024-11-01,-0.11538461538461542,Job Openings,Rate,Total nonfarm,Maryland,All size classes,yoy_map
2024-11-01,-0.12056737588652477,Job Openings,Rate,Total nonfarm,Hawaii,All size classes,yoy_map
2024-11-01,-0.12105263157894741,Job Openings,Rate,Total nonfarm,Montana,All size classes,yoy_map
2024-11-01,-0.1238938053097346,Job Openings,Rate,Total nonfarm,Alaska,All size classes,yoy_map
2024-11-01,-0.12429378531073432,Job Openings,Rate,Total nonfarm,Rhode Island,All size classes,yoy_map
2024-11-01,-0.13084112149532712,Job Openings,Rate,Total nonfarm,West Virginia,All size classes,yoy_map
2024-11-01,-0.13253012048192758,Job Openings,Rate,Total nonfarm,Ohio,All size classes,yoy_map
2024-11-01,-0.13496932515337423,Job Openings,Rate,Total nonfarm,Michigan,All size classes,yoy_map
2024-11-01,-0.1351351351351352,Job Openings,Rate,Total nonfarm,Louisiana,All size classes,yoy_map
2024-11-01,-0.1491712707182321,Job Openings,Rate,Total nonfarm,Idaho,All size classes,yoy_map
2024-11-01,-0.1575757575757577,Job Openings,Rate,Total nonfarm,Vermont,All size classes,yoy_map
2024-11-01,-0.1581395348837209,Job Openings,Rate,Total nonfarm,Colorado,All size classes,yoy_map
2024-11-01,-0.16216216216216217,Job Openings,Rate,Total nonfarm,Georgia,All size classes,yoy_map
2024-11-01,-0.16766467065868274,Job Openings,Rate,Total nonfarm,Nevada,All size classes,yoy_map
2024-11-01,-0.17241379310344818,Job Openings,Rate,Total nonfarm,South Carolina,All size classes,yoy_map
2024-11-01,-0.17460317460317454,Job Openings,Rate,Total nonfarm,California,All size classes,yoy_map
2024-11-01,-0.17575757575757578,Job Openings,Rate,Total nonfarm,Florida,All size classes,yoy_map
2024-11-01,-0.17708333333333348,Job Openings,Rate,Total nonfarm,Mississippi,All size classes,yoy_map
2024-11-01,-0.20571428571428563,Job Openings,Rate,Total nonfarm,Massachusetts,All size classes,yoy_map
2024-11-01,-0.218274111675127,Job Openings,Rate,Total nonfarm,Maine,All size classes,yoy_map
2024-11-01,-0.2325581395348838,Job Openings,Rate,Total nonfarm,Illinois,All size classes,yoy_map
2024-11-01,-0.25257731958762886,Job Openings,Rate,Total nonfarm,Tennessee,All size classes,yoy_map
2024-11-01,-0.25268817204301075,Job Openings,Rate,Total nonfarm,Wisconsin,All size classes,yoy_map
2024-11-01,-0.26086956521739135,Job Openings,Rate,Total nonfarm,Texas,All size classes,yoy_map
2024-11-01,-0.32369942196531787,Job Openings,Rate,Total nonfarm,Pennsylvania,All size classes,yoy_map
