date,value,dataelement_text,ratelevel_text,industry_text,state_text,sizeclass_text,val_type_text
2024-11-01,1.8666666666666665,Layoffs And Discharges,Rate,Total nonfarm,Alaska,All size classes,cur_map
2024-11-01,1.6333333333333335,Layoffs And Discharges,Rate,Total nonfarm,Montana,All size classes,cur_map
2024-11-01,1.6333333333333335,Layoffs And Discharges,Rate,Total nonfarm,Rhode Island,All size classes,cur_map
2024-11-01,1.5666666666666667,Layoffs And Discharges,Rate,Total nonfarm,Wyoming,All size classes,cur_map
2024-11-01,1.5333333333333332,Layoffs And Discharges,Rate,Total nonfarm,Idaho,All size classes,cur_map
2024-11-01,1.5,Layoffs And Discharges,Rate,Total nonfarm,Vermont,All size classes,cur_map
2024-11-01,1.4666666666666668,Layoffs And Discharges,Rate,Total nonfarm,Maine,All size classes,cur_map
2024-11-01,1.4333333333333333,Layoffs And Discharges,Rate,Total nonfarm,New Hampshire,All size classes,cur_map
2024-11-01,1.4000000000000001,Layoffs And Discharges,Rate,Total nonfarm,Louisiana,All size classes,cur_map
2024-11-01,1.4000000000000001,Layoffs And Discharges,Rate,Total nonfarm,Michigan,All size classes,cur_map
2024-11-01,1.4000000000000001,Layoffs And Discharges,Rate,Total nonfarm,Utah,All size classes,cur_map
2024-11-01,1.3666666666666665,Layoffs And Discharges,Rate,Total nonfarm,Nevada,All size classes,cur_map
2024-11-01,1.3666666666666665,Layoffs And Discharges,Rate,Total nonfarm,South Carolina,All size classes,cur_map
2024-11-01,1.3333333333333333,Layoffs And Discharges,Rate,Total nonfarm,Connecticut,All size classes,cur_map
2024-11-01,1.3333333333333333,Layoffs And Discharges,Rate,Total nonfarm,Tennessee,All size classes,cur_map
2024-11-01,1.3,Layoffs And Discharges,Rate,Total nonfarm,Colorado,All size classes,cur_map
2024-11-01,1.3,Layoffs And Discharges,Rate,Total nonfarm,New Jersey,All size classes,cur_map
2024-11-01,1.3,Layoffs And Discharges,Rate,Total nonfarm,Oregon,All size classes,cur_map
2024-11-01,1.2,Layoffs And Discharges,Rate,Total nonfarm,New Mexico,All size classes,cur_map
2024-11-01,1.2,Layoffs And Discharges,Rate,Total nonfarm,North Carolina,All size classes,cur_map
2024-11-01,1.2,Layoffs And Discharges,Rate,Total nonfarm,West Virginia,All size classes,cur_map
2024-11-01,1.1666666666666667,Layoffs And Discharges,Rate,Total nonfarm,California,All size classes,cur_map
2024-11-01,1.1666666666666667,Layoffs And Discharges,Rate,Total nonfarm,Georgia,All size classes,cur_map
2024-11-01,1.1666666666666667,Layoffs And Discharges,Rate,Total nonfarm,Hawaii,All size classes,cur_map
2024-11-01,1.1666666666666667,Layoffs And Discharges,Rate,Total nonfarm,North Dakota,All size classes,cur_map
2024-11-01,1.1666666666666667,Layoffs And Discharges,Rate,Total nonfarm,Oklahoma,All size classes,cur_map
2024-11-01,1.1333333333333335,Layoffs And Discharges,Rate,Total nonfarm,Indiana,All size classes,cur_map
2024-11-01,1.1333333333333335,Layoffs And Discharges,Rate,Total nonfarm,Mississippi,All size classes,cur_map
2024-11-01,1.1333333333333333,Layoffs And Discharges,Rate,Total nonfarm,Arkansas,All size classes,cur_map
2024-11-01,1.0999999999999999,Layoffs And Discharges,Rate,Total nonfarm,Arizona,All size classes,cur_map
2024-11-01,1.0999999999999999,Layoffs And Discharges,Rate,Total nonfarm,Kentucky,All size classes,cur_map
2024-11-01,1.0666666666666667,Layoffs And Discharges,Rate,Total nonfarm,Delaware,All size classes,cur_map
2024-11-01,1.0666666666666667,Layoffs And Discharges,Rate,Total nonfarm,Kansas,All size classes,cur_map
2024-11-01,1.0666666666666667,Layoffs And Discharges,Rate,Total nonfarm,Maryland,All size classes,cur_map
2024-11-01,1.0666666666666667,Layoffs And Discharges,Rate,Total nonfarm,Texas,All size classes,cur_map
2024-11-01,1.0666666666666667,Layoffs And Discharges,Rate,Total nonfarm,Virginia,All size classes,cur_map
2024-11-01,1.0333333333333334,Layoffs And Discharges,Rate,Total nonfarm,Ohio,All size classes,cur_map
2024-11-01,1.0333333333333334,Layoffs And Discharges,Rate,Total nonfarm,South Dakota,All size classes,cur_map
2024-11-01,1,Layoffs And Discharges,Rate,Total nonfarm,Illinois,All size classes,cur_map
2024-11-01,1,Layoffs And Discharges,Rate,Total nonfarm,Minnesota,All size classes,cur_map
2024-11-01,1,Layoffs And Discharges,Rate,Total nonfarm,Nebraska,All size classes,cur_map
2024-11-01,1,Layoffs And Discharges,Rate,Total nonfarm,New York,All size classes,cur_map
2024-11-01,0.9666666666666668,Layoffs And Discharges,Rate,Total nonfarm,Alabama,All size classes,cur_map
2024-11-01,0.9666666666666668,Layoffs And Discharges,Rate,Total nonfarm,Florida,All size classes,cur_map
2024-11-01,0.9666666666666667,Layoffs And Discharges,Rate,Total nonfarm,Iowa,All size classes,cur_map
2024-11-01,0.9666666666666667,Layoffs And Discharges,Rate,Total nonfarm,Missouri,All size classes,cur_map
2024-11-01,0.9666666666666667,Layoffs And Discharges,Rate,Total nonfarm,Washington,All size classes,cur_map
2024-11-01,0.9666666666666667,Layoffs And Discharges,Rate,Total nonfarm,Wisconsin,All size classes,cur_map
2024-11-01,0.9333333333333332,Layoffs And Discharges,Rate,Total nonfarm,Pennsylvania,All size classes,cur_map
2024-11-01,0.9,Layoffs And Discharges,Rate,Total nonfarm,Massachusetts,All size classes,cur_map
2024-11-01,0.7666666666666666,Layoffs And Discharges,Rate,Total nonfarm,District of Columbia,All size classes,cur_map
