date,value,dataelement_text,ratelevel_text,industry_text,state_text,sizeclass_text,val_type_text
2024-11-01,0.4285714285714286,Layoffs And Discharges,Rate,Total nonfarm,Connecticut,All size classes,yoy_map
2024-11-01,0.392857142857143,Layoffs And Discharges,Rate,Total nonfarm,Colorado,All size classes,yoy_map
2024-11-01,0.35483870967741926,Layoffs And Discharges,Rate,Total nonfarm,Utah,All size classes,yoy_map
2024-11-01,0.3448275862068966,Layoffs And Discharges,Rate,Total nonfarm,Oregon,All size classes,yoy_map
2024-11-01,0.30434782608695654,Layoffs And Discharges,Rate,Total nonfarm,Illinois,All size classes,yoy_map
2024-11-01,0.29032258064516103,Layoffs And Discharges,Rate,Total nonfarm,Tennessee,All size classes,yoy_map
2024-11-01,0.2727272727272727,Layoffs And Discharges,Rate,Total nonfarm,Michigan,All size classes,yoy_map
2024-11-01,0.2647058823529411,Layoffs And Discharges,Rate,Total nonfarm,New Hampshire,All size classes,yoy_map
2024-11-01,0.2500000000000002,Layoffs And Discharges,Rate,Total nonfarm,Georgia,All size classes,yoy_map
2024-11-01,0.24444444444444424,Layoffs And Discharges,Rate,Total nonfarm,Alaska,All size classes,yoy_map
2024-11-01,0.24137931034482762,Layoffs And Discharges,Rate,Total nonfarm,New Mexico,All size classes,yoy_map
2024-11-01,0.20588235294117663,Layoffs And Discharges,Rate,Total nonfarm,South Carolina,All size classes,yoy_map
2024-11-01,0.19512195121951215,Layoffs And Discharges,Rate,Total nonfarm,Montana,All size classes,yoy_map
2024-11-01,0.17948717948717952,Layoffs And Discharges,Rate,Total nonfarm,Idaho,All size classes,yoy_map
2024-11-01,0.1785714285714286,Layoffs And Discharges,Rate,Total nonfarm,Kentucky,All size classes,yoy_map
2024-11-01,0.17142857142857126,Layoffs And Discharges,Rate,Total nonfarm,Nevada,All size classes,yoy_map
2024-11-01,0.16666666666666674,Layoffs And Discharges,Rate,Total nonfarm,California,All size classes,yoy_map
2024-11-01,0.16666666666666674,Layoffs And Discharges,Rate,Total nonfarm,Rhode Island,All size classes,yoy_map
2024-11-01,0.16666666666666652,Layoffs And Discharges,Rate,Total nonfarm,Hawaii,All size classes,yoy_map
2024-11-01,0.15384615384615397,Layoffs And Discharges,Rate,Total nonfarm,Vermont,All size classes,yoy_map
2024-11-01,0.14634146341463428,Layoffs And Discharges,Rate,Total nonfarm,Wyoming,All size classes,yoy_map
2024-11-01,0.1428571428571428,Layoffs And Discharges,Rate,Total nonfarm,Kansas,All size classes,yoy_map
2024-11-01,0.11538461538461542,Layoffs And Discharges,Rate,Total nonfarm,Iowa,All size classes,yoy_map
2024-11-01,0.10526315789473673,Layoffs And Discharges,Rate,Total nonfarm,Louisiana,All size classes,yoy_map
2024-11-01,0.10344827586206873,Layoffs And Discharges,Rate,Total nonfarm,Texas,All size classes,yoy_map
2024-11-01,0.10344827586206873,Layoffs And Discharges,Rate,Total nonfarm,Virginia,All size classes,yoy_map
2024-11-01,0.09677419354838723,Layoffs And Discharges,Rate,Total nonfarm,Indiana,All size classes,yoy_map
