date,value,dataelement_text,ratelevel_text,industry_text,state_text,sizeclass_text,val_type_text
2024-11-01,3.766666666666667,Quits,Rate,Leisure and hospitality,Total US,All size classes,cur_bar
2024-11-01,2.6666666666666665,Quits,Rate,Other services,Total US,All size classes,cur_bar
2024-11-01,2.266666666666667,Quits,Rate,"Trade, transportation, and utilities",Total US,All size classes,cur_bar
2024-11-01,2.1999999999999997,Quits,Rate,Professional and business services,Total US,All size classes,cur_bar
2024-11-01,1.9666666666666668,Quits,Rate,Total nonfarm,Total US,All size classes,cur_bar
2024-11-01,1.9000000000000001,Quits,Rate,Mining and logging,Total US,All size classes,cur_bar
2024-11-01,1.9000000000000001,Quits,Rate,Private education and health services,Total US,All size classes,cur_bar
2024-11-01,1.6333333333333335,Quits,Rate,Construction,Total US,All size classes,cur_bar
2024-11-01,1.5,Quits,Rate,Manufacturing,Total US,All size classes,cur_bar
2024-11-01,1.2333333333333334,Quits,Rate,Financial activities,Total US,All size classes,cur_bar
2024-11-01,1.1333333333333333,Quits,Rate,Information,Total US,All size classes,cur_bar
2024-11-01,0.8000000000000002,Quits,Rate,Government,Total US,All size classes,cur_bar
