date,value,dataelement_text,ratelevel_text,industry_text,state_text,sizeclass_text,val_type_text
2024-12-01,3.17,Labor Leverage,Ratio,Other services,Total US,All size classes,cur_bar
2024-12-01,2.693333333333333,Labor Leverage,Ratio,Private education and health services,Total US,All size classes,cur_bar
2024-12-01,2.606666666666667,Labor Leverage,Ratio,Leisure and hospitality,Total US,All size classes,cur_bar
2024-12-01,2.2433333333333336,Labor Leverage,Ratio,Government,Total US,All size classes,cur_bar
2024-12-01,2.1166666666666667,Labor Leverage,Ratio,Financial activities,Total US,All size classes,cur_bar
2024-12-01,1.8099999999999996,Labor Leverage,Ratio,Total nonfarm,Total US,All size classes,cur_bar
2024-12-01,1.783333333333333,Labor Leverage,Ratio,"Trade, transportation, and utilities",Total US,All size classes,cur_bar
2024-12-01,1.6566666666666665,Labor Leverage,Ratio,Manufacturing,Total US,All size classes,cur_bar
2024-12-01,1.2366666666666664,Labor Leverage,Ratio,Professional and business services,Total US,All size classes,cur_bar
2024-12-01,1.22,Labor Leverage,Ratio,Mining and logging,Total US,All size classes,cur_bar
2024-12-01,1.0266666666666668,Labor Leverage,Ratio,Information,Total US,All size classes,cur_bar
2024-12-01,0.9033333333333333,Labor Leverage,Ratio,Construction,Total US,All size classes,cur_bar
