date,value,dataelement_text,ratelevel_text,industry_text,state_text,sizeclass_text,val_type_text
2024-12-01,0.14618644067796627,Labor Leverage,Ratio,Total nonfarm,New York,All size classes,yoy_map
2024-12-01,0.07142857142857162,Labor Leverage,Ratio,Total nonfarm,Wyoming,All size classes,yoy_map
2024-12-01,0.04938271604938271,Labor Leverage,Ratio,Total nonfarm,Washington,All size classes,yoy_map
2024-12-01,0.04783950617283961,Labor Leverage,Ratio,Total nonfarm,Indiana,All size classes,yoy_map
2024-12-01,0.03612479474548458,Labor Leverage,Ratio,Total nonfarm,Ohio,All size classes,yoy_map
2024-12-01,-0.014545454545454528,Labor Leverage,Ratio,Total nonfarm,Nevada,All size classes,yoy_map
2024-12-01,-0.019569471624266255,Labor Leverage,Ratio,Total nonfarm,California,All size classes,yoy_map
2024-12-01,-0.02195945945945943,Labor Leverage,Ratio,Total nonfarm,Hawaii,All size classes,yoy_map
2024-12-01,-0.03312302839116732,Labor Leverage,Ratio,Total nonfarm,Arizona,All size classes,yoy_map
2024-12-01,-0.0573248407643312,Labor Leverage,Ratio,Total nonfarm,Idaho,All size classes,yoy_map
2024-12-01,-0.06148055207026337,Labor Leverage,Ratio,Total nonfarm,Alabama,All size classes,yoy_map
2024-12-01,-0.06983240223463694,Labor Leverage,Ratio,Total nonfarm,District of Columbia,All size classes,yoy_map
2024-12-01,-0.08006279434850871,Labor Leverage,Ratio,Total nonfarm,Alaska,All size classes,yoy_map
2024-12-01,-0.08811188811188808,Labor Leverage,Ratio,Total nonfarm,Virginia,All size classes,yoy_map
2024-12-01,-0.11382113821138218,Labor Leverage,Ratio,Total nonfarm,Montana,All size classes,yoy_map
2024-12-01,-0.11458333333333326,Labor Leverage,Ratio,Total nonfarm,North Carolina,All size classes,yoy_map
2024-12-01,-0.12702702702702684,Labor Leverage,Ratio,Total nonfarm,Delaware,All size classes,yoy_map
2024-12-01,-0.12796208530805675,Labor Leverage,Ratio,Total nonfarm,Colorado,All size classes,yoy_map
2024-12-01,-0.12990196078431382,Labor Leverage,Ratio,Total nonfarm,Missouri,All size classes,yoy_map
2024-12-01,-0.13935681470137828,Labor Leverage,Ratio,Total nonfarm,Louisiana,All size classes,yoy_map
2024-12-01,-0.14285714285714268,Labor Leverage,Ratio,Total nonfarm,Wisconsin,All size classes,yoy_map
2024-12-01,-0.14810126582278493,Labor Leverage,Ratio,Total nonfarm,South Carolina,All size classes,yoy_map
2024-12-01,-0.15172413793103445,Labor Leverage,Ratio,Total nonfarm,Oregon,All size classes,yoy_map
2024-12-01,-0.1597315436241612,Labor Leverage,Ratio,Total nonfarm,Iowa,All size classes,yoy_map
2024-12-01,-0.16688061617458272,Labor Leverage,Ratio,Total nonfarm,Mississippi,All size classes,yoy_map
2024-12-01,-0.16691505216095393,Labor Leverage,Ratio,Total nonfarm,New Mexico,All size classes,yoy_map
2024-12-01,-0.17464788732394376,Labor Leverage,Ratio,Total nonfarm,North Dakota,All size classes,yoy_map
2024-12-01,-0.18106995884773658,Labor Leverage,Ratio,Total nonfarm,Massachusetts,All size classes,yoy_map
2024-12-01,-0.18309859154929575,Labor Leverage,Ratio,Total nonfarm,Arkansas,All size classes,yoy_map
2024-12-01,-0.18838709677419352,Labor Leverage,Ratio,Total nonfarm,South Dakota,All size classes,yoy_map
2024-12-01,-0.2059553349875931,Labor Leverage,Ratio,Total nonfarm,West Virginia,All size classes,yoy_map
2024-12-01,-0.20639534883720922,Labor Leverage,Ratio,Total nonfarm,Maryland,All size classes,yoy_map
2024-12-01,-0.22118742724097784,Labor Leverage,Ratio,Total nonfarm,Oklahoma,All size classes,yoy_map
2024-12-01,-0.22402159244264508,Labor Leverage,Ratio,Total nonfarm,Nebraska,All size classes,yoy_map
2024-12-01,-0.24641833810888258,Labor Leverage,Ratio,Total nonfarm,Utah,All size classes,yoy_map
2024-12-01,-0.2508833922261484,Labor Leverage,Ratio,Total nonfarm,Texas,All size classes,yoy_map
2024-12-01,-0.25943396226415094,Labor Leverage,Ratio,Total nonfarm,Florida,All size classes,yoy_map
2024-12-01,-0.26877934272300463,Labor Leverage,Ratio,Total nonfarm,Minnesota,All size classes,yoy_map
2024-12-01,-0.28186968838526905,Labor Leverage,Ratio,Total nonfarm,Kansas,All size classes,yoy_map
2024-12-01,-0.29174664107485604,Labor Leverage,Ratio,Total nonfarm,Connecticut,All size classes,yoy_map
2024-12-01,-0.29542302357836336,Labor Leverage,Ratio,Total nonfarm,Pennsylvania,All size classes,yoy_map
2024-12-01,-0.2976470588235295,Labor Leverage,Ratio,Total nonfarm,Kentucky,All size classes,yoy_map
2024-12-01,-0.3125000000000001,Labor Leverage,Ratio,Total nonfarm,Tennessee,All size classes,yoy_map
2024-12-01,-0.3214285714285714,Labor Leverage,Ratio,Total nonfarm,New Jersey,All size classes,yoy_map
2024-12-01,-0.33104631217838776,Labor Leverage,Ratio,Total nonfarm,Vermont,All size classes,yoy_map
2024-12-01,-0.34504792332268375,Labor Leverage,Ratio,Total nonfarm,Michigan,All size classes,yoy_map
2024-12-01,-0.3545647558386411,Labor Leverage,Ratio,Total nonfarm,Georgia,All size classes,yoy_map
2024-12-01,-0.4077961019490255,Labor Leverage,Ratio,Total nonfarm,Maine,All size classes,yoy_map
