date,value,value_trail_three,dataelement_text,ratelevel_text,industry_text,state_text,sizeclass_text,val_type_text
2020-12-01,1.3,1.333333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-01-01,1.1,1.2999999999999998,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-02-01,1.1,1.1666666666666663,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-03-01,1,1.0666666666666664,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-04-01,1,1.033333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-05-01,0.9,0.9666666666666663,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-06-01,0.9,0.933333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-07-01,1,0.933333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-08-01,0.9,0.933333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-09-01,1,0.9666666666666663,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-10-01,0.9,0.933333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-11-01,0.9,0.933333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-12-01,0.9,0.8999999999999998,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-01-01,0.9,0.8999999999999998,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-02-01,1,0.933333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-03-01,0.9,0.933333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-04-01,0.9,0.933333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-05-01,1,0.933333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-06-01,1,0.9666666666666663,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-07-01,1,0.9999999999999997,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-08-01,1,0.9999999999999997,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-09-01,1,0.9999999999999997,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-10-01,1,0.9999999999999997,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-11-01,1,0.9999999999999997,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-12-01,1,0.9999999999999997,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-01-01,1.2,1.0666666666666664,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-02-01,1,1.0666666666666664,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-03-01,1.2,1.133333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-04-01,1.1,1.0999999999999996,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-05-01,1,1.0999999999999996,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-06-01,1,1.033333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-07-01,1.1,1.033333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-08-01,1.1,1.0666666666666664,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-09-01,1,1.0666666666666664,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-10-01,1.1,1.0666666666666664,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-11-01,1,1.033333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-12-01,1,1.033333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-01-01,1,0.9999999999999997,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-02-01,1.1,1.033333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-03-01,1,1.033333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-04-01,1,1.033333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-05-01,1.1,1.033333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-06-01,1,1.033333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-07-01,1.1,1.0666666666666664,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-08-01,1,1.033333333333333,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-09-01,1.1,1.0666666666666664,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-10-01,1.1,1.0666666666666664,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-11-01,1.1,1.0999999999999999,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-12-01,1.1,1.0999999999999999,Layoffs And Discharges,Rate,Total nonfarm,Total US,All size classes,ts_line
