date,value,value_trail_three,dataelement_text,ratelevel_text,industry_text,state_text,sizeclass_text,val_type_text
2021-01-01,4.8,4.633333333333333,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-02-01,5.1,4.8,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-03-01,5.5,5.133333333333333,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-04-01,6.1,5.566666666666666,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-05-01,6.4,6,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-06-01,6.6,6.366666666666666,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-07-01,7,6.666666666666667,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-08-01,6.9,6.833333333333333,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-09-01,6.9,6.933333333333334,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-10-01,7.1,6.966666666666666,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-11-01,6.9,6.966666666666666,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-12-01,7.1,7.033333333333332,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-01-01,7,7,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-02-01,7.2,7.099999999999999,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-03-01,7.4,7.2,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-04-01,7.3,7.3,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-05-01,7,7.233333333333333,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-06-01,6.9,7.066666666666666,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-07-01,7.1,7,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-08-01,6.2,6.733333333333333,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-09-01,6.6,6.633333333333333,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-10-01,6.4,6.3999999999999995,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-11-01,6.4,6.466666666666666,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-12-01,6.6,6.466666666666666,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-01-01,6.3,6.433333333333333,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-02-01,6,6.3,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-03-01,5.8,6.033333333333332,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-04-01,6,5.933333333333333,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-05-01,5.6,5.8,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-06-01,5.6,5.733333333333333,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-07-01,5.2,5.466666666666666,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-08-01,5.6,5.466666666666666,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-09-01,5.6,5.466666666666666,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-10-01,5.2,5.466666666666666,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-11-01,5.2,5.333333333333333,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-12-01,5.2,5.2,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-01-01,5.1,5.166666666666667,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-02-01,5.1,5.133333333333333,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-03-01,4.9,5.033333333333332,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-04-01,4.6,4.866666666666666,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-05-01,4.8,4.766666666666667,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-06-01,4.5,4.633333333333333,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-07-01,4.5,4.6,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-08-01,4.6,4.533333333333332,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-09-01,4.3,4.466666666666666,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-10-01,4.6,4.499999999999999,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-11-01,4.8,4.566666666666666,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-12-01,4.5,4.633333333333333,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
2025-01-01,4.6,4.633333333333333,Job Openings,Rate,Total nonfarm,Total US,All size classes,ts_line
