date,value,dataelement_text,ratelevel_text,industry_text,state_text,sizeclass_text,val_type_text
2025-01-01,2.72,Labor Leverage,Ratio,Total nonfarm,Florida,All size classes,cur_map
2025-01-01,2.4566666666666657,Labor Leverage,Ratio,Total nonfarm,West Virginia,All size classes,cur_map
2025-01-01,2.42,Labor Leverage,Ratio,Total nonfarm,Alabama,All size classes,cur_map
2025-01-01,2.4133333333333327,Labor Leverage,Ratio,Total nonfarm,Texas,All size classes,cur_map
2025-01-01,2.353333333333332,Labor Leverage,Ratio,Total nonfarm,South Carolina,All size classes,cur_map
2025-01-01,2.3366666666666664,Labor Leverage,Ratio,Total nonfarm,Oklahoma,All size classes,cur_map
2025-01-01,2.28,Labor Leverage,Ratio,Total nonfarm,District of Columbia,All size classes,cur_map
2025-01-01,2.273333333333333,Labor Leverage,Ratio,Total nonfarm,Mississippi,All size classes,cur_map
2025-01-01,2.266666666666666,Labor Leverage,Ratio,Total nonfarm,Colorado,All size classes,cur_map
2025-01-01,2.2599999999999993,Labor Leverage,Ratio,Total nonfarm,Tennessee,All size classes,cur_map
2025-01-01,2.2333333333333325,Labor Leverage,Ratio,Total nonfarm,Wyoming,All size classes,cur_map
2025-01-01,2.1699999999999995,Labor Leverage,Ratio,Total nonfarm,Arkansas,All size classes,cur_map
2025-01-01,2.1433333333333326,Labor Leverage,Ratio,Total nonfarm,Missouri,All size classes,cur_map
2025-01-01,2.0866666666666664,Labor Leverage,Ratio,Total nonfarm,Delaware,All size classes,cur_map
2025-01-01,2.0799999999999987,Labor Leverage,Ratio,Total nonfarm,Virginia,All size classes,cur_map
2025-01-01,2.0766666666666658,Labor Leverage,Ratio,Total nonfarm,Pennsylvania,All size classes,cur_map
2025-01-01,2.026666666666666,Labor Leverage,Ratio,Total nonfarm,Oregon,All size classes,cur_map
2025-01-01,2.0066666666666664,Labor Leverage,Ratio,Total nonfarm,Minnesota,All size classes,cur_map
2025-01-01,1.9999999999999998,Labor Leverage,Ratio,Total nonfarm,Idaho,All size classes,cur_map
2025-01-01,1.9699999999999998,Labor Leverage,Ratio,Total nonfarm,North Carolina,All size classes,cur_map
2025-01-01,1.9633333333333332,Labor Leverage,Ratio,Total nonfarm,Alaska,All size classes,cur_map
2025-01-01,1.9599999999999997,Labor Leverage,Ratio,Total nonfarm,Louisiana,All size classes,cur_map
2025-01-01,1.9533333333333331,Labor Leverage,Ratio,Total nonfarm,Ohio,All size classes,cur_map
2025-01-01,1.9266666666666665,Labor Leverage,Ratio,Total nonfarm,Iowa,All size classes,cur_map
2025-01-01,1.9233333333333331,Labor Leverage,Ratio,Total nonfarm,Indiana,All size classes,cur_map
2025-01-01,1.8866666666666665,Labor Leverage,Ratio,Total nonfarm,New Mexico,All size classes,cur_map
2025-01-01,1.8633333333333333,Labor Leverage,Ratio,Total nonfarm,Maryland,All size classes,cur_map
2025-01-01,1.8599999999999997,Labor Leverage,Ratio,Total nonfarm,Arizona,All size classes,cur_map
2025-01-01,1.839999999999999,Labor Leverage,Ratio,Total nonfarm,Wisconsin,All size classes,cur_map
2025-01-01,1.8266666666666664,Labor Leverage,Ratio,Total nonfarm,Hawaii,All size classes,cur_map
2025-01-01,1.8199999999999992,Labor Leverage,Ratio,Total nonfarm,Washington,All size classes,cur_map
2025-01-01,1.8133333333333328,Labor Leverage,Ratio,Total nonfarm,Kentucky,All size classes,cur_map
2025-01-01,1.7899999999999991,Labor Leverage,Ratio,Total nonfarm,Utah,All size classes,cur_map
2025-01-01,1.7799999999999994,Labor Leverage,Ratio,Total nonfarm,Montana,All size classes,cur_map
2025-01-01,1.7766666666666666,Labor Leverage,Ratio,Total nonfarm,Maine,All size classes,cur_map
2025-01-01,1.7766666666666657,Labor Leverage,Ratio,Total nonfarm,South Dakota,All size classes,cur_map
2025-01-01,1.7466666666666664,Labor Leverage,Ratio,Total nonfarm,Georgia,All size classes,cur_map
2025-01-01,1.7166666666666666,Labor Leverage,Ratio,Total nonfarm,New York,All size classes,cur_map
2025-01-01,1.713333333333333,Labor Leverage,Ratio,Total nonfarm,Nevada,All size classes,cur_map
2025-01-01,1.7,Labor Leverage,Ratio,Total nonfarm,Kansas,All size classes,cur_map
2025-01-01,1.6933333333333327,Labor Leverage,Ratio,Total nonfarm,Nebraska,All size classes,cur_map
2025-01-01,1.663333333333333,Labor Leverage,Ratio,Total nonfarm,California,All size classes,cur_map
2025-01-01,1.6266666666666667,Labor Leverage,Ratio,Total nonfarm,Connecticut,All size classes,cur_map
2025-01-01,1.6233333333333324,Labor Leverage,Ratio,Total nonfarm,Vermont,All size classes,cur_map
2025-01-01,1.5566666666666664,Labor Leverage,Ratio,Total nonfarm,North Dakota,All size classes,cur_map
2025-01-01,1.5499999999999998,Labor Leverage,Ratio,Total nonfarm,Illinois,All size classes,cur_map
2025-01-01,1.5166666666666666,Labor Leverage,Ratio,Total nonfarm,Massachusetts,All size classes,cur_map
2025-01-01,1.3666666666666663,Labor Leverage,Ratio,Total nonfarm,New Hampshire,All size classes,cur_map
2025-01-01,1.293333333333333,Labor Leverage,Ratio,Total nonfarm,Michigan,All size classes,cur_map
2025-01-01,1.216666666666666,Labor Leverage,Ratio,Total nonfarm,Rhode Island,All size classes,cur_map
2025-01-01,1.113333333333333,Labor Leverage,Ratio,Total nonfarm,New Jersey,All size classes,cur_map
