date,value,value_trail_three,dataelement_text,ratelevel_text,industry_text,state_text,sizeclass_text,val_type_text
2021-01-01,1.4,1.5333333333333334,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-02-01,1.3,1.4333333333333336,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-03-01,1.2,1.3,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-04-01,1,1.1666666666666667,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-05-01,0.9,1.0333333333333334,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-06-01,0.9,0.9333333333333336,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-07-01,0.8,0.8666666666666668,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-08-01,0.8,0.8333333333333335,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-09-01,0.7,0.7666666666666669,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-10-01,0.6,0.7000000000000002,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-11-01,0.6,0.6333333333333334,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-12-01,0.6,0.6000000000000001,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-01-01,0.6,0.6000000000000001,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-02-01,0.5,0.5666666666666668,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-03-01,0.5,0.5333333333333335,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-04-01,0.5,0.5000000000000001,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-05-01,0.5,0.5000000000000001,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-06-01,0.5,0.5000000000000001,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-07-01,0.5,0.5000000000000001,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-08-01,0.6,0.5333333333333335,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-09-01,0.5,0.5333333333333335,Unemployed Persons Per Job Opening,Rate,Total nonfarm,Total US,All size classes,ts_line
