date,value,dataelement_text,ratelevel_text,industry_text,state_text,sizeclass_text,val_type_text
2025-02-01,5.366666666666667,Hires,Rate,Leisure and hospitality,Total US,All size classes,cur_bar
2025-02-01,4.333333333333333,Hires,Rate,Professional and business services,Total US,All size classes,cur_bar
2025-02-01,4.166666666666667,Hires,Rate,Construction,Total US,All size classes,cur_bar
2025-02-01,3.8666666666666667,Hires,Rate,Other services,Total US,All size classes,cur_bar
2025-02-01,3.733333333333333,Hires,Rate,"Trade, transportation, and utilities",Total US,All size classes,cur_bar
2025-02-01,3.4,Hires,Rate,Total nonfarm,Total US,All size classes,cur_bar
2025-02-01,3.1333333333333333,Hires,Rate,Mining and logging,Total US,All size classes,cur_bar
2025-02-01,3.1,Hires,Rate,Private education and health services,Total US,All size classes,cur_bar
2025-02-01,2.6666666666666665,Hires,Rate,Information,Total US,All size classes,cur_bar
2025-02-01,2.533333333333333,Hires,Rate,Manufacturing,Total US,All size classes,cur_bar
2025-02-01,2.3000000000000003,Hires,Rate,Financial activities,Total US,All size classes,cur_bar
2025-02-01,1.5666666666666667,Hires,Rate,Government,Total US,All size classes,cur_bar
