date,date_period_text,value,data_element_text,metric_text,date_measure_text,industry_text,sizeclass_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-03-01,Monthly,4.8999999999999995,Hires,Rate,Current,Total nonfarm,All size classes,State,Alaska,Seasonally Adjusted,Map
2025-03-01,Monthly,4.633333333333334,Hires,Rate,Current,Total nonfarm,All size classes,State,Montana,Seasonally Adjusted,Map
2025-03-01,Monthly,4.266666666666667,Hires,Rate,Current,Total nonfarm,All size classes,State,South Carolina,Seasonally Adjusted,Map
2025-03-01,Monthly,4.266666666666667,Hires,Rate,Current,Total nonfarm,All size classes,State,Wyoming,Seasonally Adjusted,Map
2025-03-01,Monthly,4.133333333333334,Hires,Rate,Current,Total nonfarm,All size classes,State,Idaho,Seasonally Adjusted,Map
2025-03-01,Monthly,4.133333333333333,Hires,Rate,Current,Total nonfarm,All size classes,State,Vermont,Seasonally Adjusted,Map
2025-03-01,Monthly,4.1000000000000005,Hires,Rate,Current,Total nonfarm,All size classes,State,Florida,Seasonally Adjusted,Map
2025-03-01,Monthly,4.066666666666666,Hires,Rate,Current,Total nonfarm,All size classes,State,Indiana,Seasonally Adjusted,Map
2025-03-01,Monthly,3.966666666666667,Hires,Rate,Current,Total nonfarm,All size classes,State,Michigan,Seasonally Adjusted,Map
2025-03-01,Monthly,3.9,Hires,Rate,Current,Total nonfarm,All size classes,State,Louisiana,Seasonally Adjusted,Map
2025-03-01,Monthly,3.866666666666667,Hires,Rate,Current,Total nonfarm,All size classes,State,Tennessee,Seasonally Adjusted,Map
2025-03-01,Monthly,3.766666666666667,Hires,Rate,Current,Total nonfarm,All size classes,State,Maine,Seasonally Adjusted,Map
2025-03-01,Monthly,3.766666666666667,Hires,Rate,Current,Total nonfarm,All size classes,State,West Virginia,Seasonally Adjusted,Map
2025-03-01,Monthly,3.733333333333333,Hires,Rate,Current,Total nonfarm,All size classes,State,Colorado,Seasonally Adjusted,Map
2025-03-01,Monthly,3.6999999999999997,Hires,Rate,Current,Total nonfarm,All size classes,State,Alabama,Seasonally Adjusted,Map
2025-03-01,Monthly,3.6999999999999997,Hires,Rate,Current,Total nonfarm,All size classes,State,Arkansas,Seasonally Adjusted,Map
2025-03-01,Monthly,3.6999999999999997,Hires,Rate,Current,Total nonfarm,All size classes,State,Texas,Seasonally Adjusted,Map
2025-03-01,Monthly,3.6666666666666665,Hires,Rate,Current,Total nonfarm,All size classes,State,Kentucky,Seasonally Adjusted,Map
2025-03-01,Monthly,3.6666666666666665,Hires,Rate,Current,Total nonfarm,All size classes,State,Nevada,Seasonally Adjusted,Map
2025-03-01,Monthly,3.6666666666666665,Hires,Rate,Current,Total nonfarm,All size classes,State,New Mexico,Seasonally Adjusted,Map
2025-03-01,Monthly,3.6666666666666665,Hires,Rate,Current,Total nonfarm,All size classes,State,North Dakota,Seasonally Adjusted,Map
2025-03-01,Monthly,3.6333333333333333,Hires,Rate,Current,Total nonfarm,All size classes,State,Rhode Island,Seasonally Adjusted,Map
2025-03-01,Monthly,3.6,Hires,Rate,Current,Total nonfarm,All size classes,State,Utah,Seasonally Adjusted,Map
2025-03-01,Monthly,3.5666666666666664,Hires,Rate,Current,Total nonfarm,All size classes,State,Arizona,Seasonally Adjusted,Map
2025-03-01,Monthly,3.5666666666666664,Hires,Rate,Current,Total nonfarm,All size classes,State,Oklahoma,Seasonally Adjusted,Map
2025-03-01,Monthly,3.533333333333333,Hires,Rate,Current,Total nonfarm,All size classes,State,South Dakota,Seasonally Adjusted,Map
2025-03-01,Monthly,3.5,Hires,Rate,Current,Total nonfarm,All size classes,State,Kansas,Seasonally Adjusted,Map
2025-03-01,Monthly,3.466666666666667,Hires,Rate,Current,Total nonfarm,All size classes,State,Iowa,Seasonally Adjusted,Map
