date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,industry_text,sizeclass_text,seas_adj_text,viz_type_text
2025-03-01,Monthly,4.8999999999999995,Hires,Rate,Current,Trail 3,State,Alaska,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-03-01,Monthly,4.633333333333334,Hires,Rate,Current,Trail 3,State,Montana,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-03-01,Monthly,4.266666666666667,Hires,Rate,Current,Trail 3,State,South Carolina,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-03-01,Monthly,4.266666666666667,Hires,Rate,Current,Trail 3,State,Wyoming,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-03-01,Monthly,4.133333333333334,Hires,Rate,Current,Trail 3,State,Idaho,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-03-01,Monthly,4.133333333333333,Hires,Rate,Current,Trail 3,State,Vermont,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-03-01,Monthly,4.1000000000000005,Hires,Rate,Current,Trail 3,State,Florida,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-03-01,Monthly,4.066666666666666,Hires,Rate,Current,Trail 3,State,Indiana,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-03-01,Monthly,3.966666666666667,Hires,Rate,Current,Trail 3,State,Michigan,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-03-01,Monthly,3.9,Hires,Rate,Current,Trail 3,State,Louisiana,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-03-01,Monthly,3.866666666666667,Hires,Rate,Current,Trail 3,State,Tennessee,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-03-01,Monthly,3.766666666666667,Hires,Rate,Current,Trail 3,State,Maine,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-03-01,Monthly,3.766666666666667,Hires,Rate,Current,Trail 3,State,West Virginia,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-03-01,Monthly,3.733333333333333,Hires,Rate,Current,Trail 3,State,Colorado,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-03-01,Monthly,3.6999999999999997,Hires,Rate,Current,Trail 3,State,Alabama,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-03-01,Monthly,3.6999999999999997,Hires,Rate,Current,Trail 3,State,Arkansas,Total nonfarm,All size classes,Seasonally adjusted,Map
