date,date_period_text,value,data_element_text,metric_text,date_measure_text,industry_text,sizeclass_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-03-01,Monthly,0.16190476190476177,Hires,Rate,Year-over-year,Total nonfarm,All size classes,State,Indiana,Seasonally Adjusted,Map
2025-03-01,Monthly,0.15533980582524265,Hires,Rate,Year-over-year,Total nonfarm,All size classes,State,Michigan,Seasonally Adjusted,Map
2025-03-01,Monthly,0.11711711711711725,Hires,Rate,Year-over-year,Total nonfarm,All size classes,State,Vermont,Seasonally Adjusted,Map
2025-03-01,Monthly,0.07216494845360821,Hires,Rate,Year-over-year,Total nonfarm,All size classes,State,Iowa,Seasonally Adjusted,Map
2025-03-01,Monthly,0.06172839506172845,Hires,Rate,Year-over-year,Total nonfarm,All size classes,State,New York,Seasonally Adjusted,Map
2025-03-01,Monthly,0.04494382022471899,Hires,Rate,Year-over-year,Total nonfarm,All size classes,State,Massachusetts,Seasonally Adjusted,Map
2025-03-01,Monthly,0.020408163265306145,Hires,Rate,Year-over-year,Total nonfarm,All size classes,State,Wisconsin,Seasonally Adjusted,Map
2025-03-01,Monthly,0.00990099009900991,Hires,Rate,Year-over-year,Total nonfarm,All size classes,State,Minnesota,Seasonally Adjusted,Map
2025-03-01,Monthly,0.009009009009008917,Hires,Rate,Year-over-year,Total nonfarm,All size classes,State,Colorado,Seasonally Adjusted,Map
2025-03-01,Monthly,0,Hires,Rate,Year-over-year,Total nonfarm,All size classes,State,New Mexico,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.008064516129032251,Hires,Rate,Year-over-year,Total nonfarm,All size classes,State,Florida,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.009433962264150941,Hires,Rate,Year-over-year,Total nonfarm,All size classes,State,Kansas,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.01098901098901095,Hires,Rate,Year-over-year,Total nonfarm,All size classes,State,Hawaii,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.022222222222222143,Hires,Rate,Year-over-year,Total nonfarm,All size classes,State,California,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.026315789473684403,Hires,Rate,Year-over-year,Total nonfarm,All size classes,State,Texas,Seasonally Adjusted,Map
