date,date_period_text,value,data_element_text,metric_text,date_measure_text,industry_text,sizeclass_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-03-01,Monthly,2.1666666666666665,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Rhode Island,Seasonally Adjusted,Map
2025-03-01,Monthly,1.9666666666666666,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Montana,Seasonally Adjusted,Map
2025-03-01,Monthly,1.9000000000000001,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Alaska,Seasonally Adjusted,Map
2025-03-01,Monthly,1.5999999999999999,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Nevada,Seasonally Adjusted,Map
2025-03-01,Monthly,1.5333333333333332,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Idaho,Seasonally Adjusted,Map
2025-03-01,Monthly,1.4666666666666668,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Wyoming,Seasonally Adjusted,Map
2025-03-01,Monthly,1.4000000000000001,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,New Jersey,Seasonally Adjusted,Map
2025-03-01,Monthly,1.4000000000000001,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,North Dakota,Seasonally Adjusted,Map
2025-03-01,Monthly,1.4000000000000001,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Vermont,Seasonally Adjusted,Map
2025-03-01,Monthly,1.3666666666666665,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Maine,Seasonally Adjusted,Map
2025-03-01,Monthly,1.3666666666666665,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Utah,Seasonally Adjusted,Map
2025-03-01,Monthly,1.3333333333333333,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Colorado,Seasonally Adjusted,Map
2025-03-01,Monthly,1.3333333333333333,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Indiana,Seasonally Adjusted,Map
2025-03-01,Monthly,1.2666666666666666,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Connecticut,Seasonally Adjusted,Map
2025-03-01,Monthly,1.2333333333333334,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,South Dakota,Seasonally Adjusted,Map
2025-03-01,Monthly,1.2333333333333334,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,West Virginia,Seasonally Adjusted,Map
2025-03-01,Monthly,1.2,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Kentucky,Seasonally Adjusted,Map
2025-03-01,Monthly,1.2,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Louisiana,Seasonally Adjusted,Map
2025-03-01,Monthly,1.2,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Massachusetts,Seasonally Adjusted,Map
2025-03-01,Monthly,1.2,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,New Hampshire,Seasonally Adjusted,Map
2025-03-01,Monthly,1.1666666666666667,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Arizona,Seasonally Adjusted,Map
2025-03-01,Monthly,1.1666666666666667,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Georgia,Seasonally Adjusted,Map
2025-03-01,Monthly,1.1666666666666667,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Michigan,Seasonally Adjusted,Map
2025-03-01,Monthly,1.1666666666666667,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,New Mexico,Seasonally Adjusted,Map
2025-03-01,Monthly,1.1666666666666667,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Tennessee,Seasonally Adjusted,Map
2025-03-01,Monthly,1.1333333333333335,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Hawaii,Seasonally Adjusted,Map
2025-03-01,Monthly,1.1,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Arkansas,Seasonally Adjusted,Map
2025-03-01,Monthly,1.0999999999999999,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Iowa,Seasonally Adjusted,Map
2025-03-01,Monthly,1.0999999999999999,Layoffs And Discharges,Rate,Current,Total nonfarm,All size classes,State,Oregon,Seasonally Adjusted,Map
