date,date_period_text,value,data_element_text,metric_text,date_measure_text,industry_text,sizeclass_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-03-01,Monthly,0.47727272727272707,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Rhode Island,Seasonally Adjusted,Map
2025-03-01,Monthly,0.2962962962962963,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Georgia,Seasonally Adjusted,Map
2025-03-01,Monthly,0.2857142857142858,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Massachusetts,Seasonally Adjusted,Map
2025-03-01,Monthly,0.25,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Colorado,Seasonally Adjusted,Map
2025-03-01,Monthly,0.19999999999999996,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Kentucky,Seasonally Adjusted,Map
2025-03-01,Monthly,0.18181818181818166,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,District of Columbia,Seasonally Adjusted,Map
2025-03-01,Monthly,0.1568627450980391,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Montana,Seasonally Adjusted,Map
2025-03-01,Monthly,0.14814814814814814,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Ohio,Seasonally Adjusted,Map
2025-03-01,Monthly,0.1428571428571428,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Indiana,Seasonally Adjusted,Map
2025-03-01,Monthly,0.1351351351351351,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,New Jersey,Seasonally Adjusted,Map
2025-03-01,Monthly,0.12121212121212133,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,West Virginia,Seasonally Adjusted,Map
2025-03-01,Monthly,0.11999999999999988,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,California,Seasonally Adjusted,Map
2025-03-01,Monthly,0.11764705882352944,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Alaska,Seasonally Adjusted,Map
2025-03-01,Monthly,0.11627906976744184,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Nevada,Seasonally Adjusted,Map
2025-03-01,Monthly,0.09523809523809534,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Idaho,Seasonally Adjusted,Map
2025-03-01,Monthly,0.08571428571428563,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Connecticut,Seasonally Adjusted,Map
2025-03-01,Monthly,0.07894736842105243,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Utah,Seasonally Adjusted,Map
2025-03-01,Monthly,0.06250000000000022,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Hawaii,Seasonally Adjusted,Map
2025-03-01,Monthly,0.060606060606060774,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Tennessee,Seasonally Adjusted,Map
2025-03-01,Monthly,0.06060606060606055,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Michigan,Seasonally Adjusted,Map
2025-03-01,Monthly,0.034482758620689724,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Illinois,Seasonally Adjusted,Map
2025-03-01,Monthly,0.03333333333333344,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Texas,Seasonally Adjusted,Map
2025-03-01,Monthly,0.03125,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Arkansas,Seasonally Adjusted,Map
2025-03-01,Monthly,0.03125,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Iowa,Seasonally Adjusted,Map
2025-03-01,Monthly,0.03125,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Virginia,Seasonally Adjusted,Map
2025-03-01,Monthly,0.024390243902438824,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,North Dakota,Seasonally Adjusted,Map
2025-03-01,Monthly,0,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Louisiana,Seasonally Adjusted,Map
2025-03-01,Monthly,0,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,New Mexico,Seasonally Adjusted,Map
2025-03-01,Monthly,0,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,South Dakota,Seasonally Adjusted,Map
2025-03-01,Monthly,0,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Washington,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.02777777777777768,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Arizona,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.03124999999999989,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Kansas,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.033333333333333215,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Maryland,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.033333333333333215,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Wisconsin,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.03571428571428581,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Missouri,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.06666666666666654,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Vermont,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.08333333333333348,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Wyoming,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.09090909090909083,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Alabama,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.09090909090909083,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Nebraska,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.09090909090909083,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,South Carolina,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.09677419354838712,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,North Carolina,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.10714285714285698,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,New York,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.1212121212121211,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Mississippi,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.12765957446808507,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Maine,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.13157894736842113,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Oregon,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.19999999999999996,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Delaware,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.20000000000000007,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Florida,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.21052631578947367,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Minnesota,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.2142857142857143,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Pennsylvania,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.23404255319148937,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,New Hampshire,Seasonally Adjusted,Map
2025-03-01,Monthly,-0.23529411764705888,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,State,Oklahoma,Seasonally Adjusted,Map
