date,date_period_text,value,data_element_text,metric_text,date_measure_text,industry_text,sizeclass_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-03-01,Monthly,3.033333333333333,Quits,Rate,Current,Total nonfarm,All size classes,State,Montana,Seasonally Adjusted,Map
2025-03-01,Monthly,2.966666666666667,Quits,Rate,Current,Total nonfarm,All size classes,State,Alaska,Seasonally Adjusted,Map
2025-03-01,Monthly,2.8000000000000003,Quits,Rate,Current,Total nonfarm,All size classes,State,Idaho,Seasonally Adjusted,Map
2025-03-01,Monthly,2.8000000000000003,Quits,Rate,Current,Total nonfarm,All size classes,State,Wyoming,Seasonally Adjusted,Map
2025-03-01,Monthly,2.6999999999999997,Quits,Rate,Current,Total nonfarm,All size classes,State,Indiana,Seasonally Adjusted,Map
2025-03-01,Monthly,2.6333333333333333,Quits,Rate,Current,Total nonfarm,All size classes,State,Tennessee,Seasonally Adjusted,Map
2025-03-01,Monthly,2.6333333333333333,Quits,Rate,Current,Total nonfarm,All size classes,State,West Virginia,Seasonally Adjusted,Map
2025-03-01,Monthly,2.5666666666666664,Quits,Rate,Current,Total nonfarm,All size classes,State,South Dakota,Seasonally Adjusted,Map
2025-03-01,Monthly,2.533333333333333,Quits,Rate,Current,Total nonfarm,All size classes,State,Florida,Seasonally Adjusted,Map
2025-03-01,Monthly,2.533333333333333,Quits,Rate,Current,Total nonfarm,All size classes,State,Louisiana,Seasonally Adjusted,Map
2025-03-01,Monthly,2.533333333333333,Quits,Rate,Current,Total nonfarm,All size classes,State,North Dakota,Seasonally Adjusted,Map
2025-03-01,Monthly,2.433333333333333,Quits,Rate,Current,Total nonfarm,All size classes,State,South Carolina,Seasonally Adjusted,Map
2025-03-01,Monthly,2.3666666666666667,Quits,Rate,Current,Total nonfarm,All size classes,State,Utah,Seasonally Adjusted,Map
2025-03-01,Monthly,2.3333333333333335,Quits,Rate,Current,Total nonfarm,All size classes,State,Kansas,Seasonally Adjusted,Map
2025-03-01,Monthly,2.3333333333333335,Quits,Rate,Current,Total nonfarm,All size classes,State,Maine,Seasonally Adjusted,Map
2025-03-01,Monthly,2.3333333333333335,Quits,Rate,Current,Total nonfarm,All size classes,State,Nevada,Seasonally Adjusted,Map
2025-03-01,Monthly,2.3333333333333335,Quits,Rate,Current,Total nonfarm,All size classes,State,Vermont,Seasonally Adjusted,Map
2025-03-01,Monthly,2.3000000000000003,Quits,Rate,Current,Total nonfarm,All size classes,State,Arkansas,Seasonally Adjusted,Map
2025-03-01,Monthly,2.3000000000000003,Quits,Rate,Current,Total nonfarm,All size classes,State,Oklahoma,Seasonally Adjusted,Map
2025-03-01,Monthly,2.233333333333333,Quits,Rate,Current,Total nonfarm,All size classes,State,Mississippi,Seasonally Adjusted,Map
2025-03-01,Monthly,2.233333333333333,Quits,Rate,Current,Total nonfarm,All size classes,State,Oregon,Seasonally Adjusted,Map
2025-03-01,Monthly,2.1999999999999997,Quits,Rate,Current,Total nonfarm,All size classes,State,Alabama,Seasonally Adjusted,Map
2025-03-01,Monthly,2.1999999999999997,Quits,Rate,Current,Total nonfarm,All size classes,State,Arizona,Seasonally Adjusted,Map
2025-03-01,Monthly,2.1999999999999997,Quits,Rate,Current,Total nonfarm,All size classes,State,Texas,Seasonally Adjusted,Map
2025-03-01,Monthly,2.1666666666666665,Quits,Rate,Current,Total nonfarm,All size classes,State,Iowa,Seasonally Adjusted,Map
2025-03-01,Monthly,2.1666666666666665,Quits,Rate,Current,Total nonfarm,All size classes,State,Rhode Island,Seasonally Adjusted,Map
2025-03-01,Monthly,2.1333333333333333,Quits,Rate,Current,Total nonfarm,All size classes,State,Ohio,Seasonally Adjusted,Map
2025-03-01,Monthly,2.1,Quits,Rate,Current,Total nonfarm,All size classes,State,Colorado,Seasonally Adjusted,Map
2025-03-01,Monthly,2.1,Quits,Rate,Current,Total nonfarm,All size classes,State,Georgia,Seasonally Adjusted,Map
2025-03-01,Monthly,2.1,Quits,Rate,Current,Total nonfarm,All size classes,State,Missouri,Seasonally Adjusted,Map
2025-03-01,Monthly,2.066666666666667,Quits,Rate,Current,Total nonfarm,All size classes,State,Delaware,Seasonally Adjusted,Map
2025-03-01,Monthly,2.066666666666667,Quits,Rate,Current,Total nonfarm,All size classes,State,Kentucky,Seasonally Adjusted,Map
2025-03-01,Monthly,2.066666666666667,Quits,Rate,Current,Total nonfarm,All size classes,State,New Mexico,Seasonally Adjusted,Map
2025-03-01,Monthly,2.066666666666667,Quits,Rate,Current,Total nonfarm,All size classes,State,North Carolina,Seasonally Adjusted,Map
2025-03-01,Monthly,2.066666666666667,Quits,Rate,Current,Total nonfarm,All size classes,State,Virginia,Seasonally Adjusted,Map
2025-03-01,Monthly,2.0666666666666664,Quits,Rate,Current,Total nonfarm,All size classes,State,Illinois,Seasonally Adjusted,Map
2025-03-01,Monthly,2.033333333333333,Quits,Rate,Current,Total nonfarm,All size classes,State,Michigan,Seasonally Adjusted,Map
2025-03-01,Monthly,2.033333333333333,Quits,Rate,Current,Total nonfarm,All size classes,State,Wisconsin,Seasonally Adjusted,Map
2025-03-01,Monthly,2,Quits,Rate,Current,Total nonfarm,All size classes,State,Minnesota,Seasonally Adjusted,Map
2025-03-01,Monthly,1.9666666666666668,Quits,Rate,Current,Total nonfarm,All size classes,State,Connecticut,Seasonally Adjusted,Map
2025-03-01,Monthly,1.9666666666666668,Quits,Rate,Current,Total nonfarm,All size classes,State,Hawaii,Seasonally Adjusted,Map
2025-03-01,Monthly,1.9666666666666668,Quits,Rate,Current,Total nonfarm,All size classes,State,Nebraska,Seasonally Adjusted,Map
2025-03-01,Monthly,1.9666666666666668,Quits,Rate,Current,Total nonfarm,All size classes,State,New Hampshire,Seasonally Adjusted,Map
2025-03-01,Monthly,1.9000000000000001,Quits,Rate,Current,Total nonfarm,All size classes,State,Maryland,Seasonally Adjusted,Map
2025-03-01,Monthly,1.8,Quits,Rate,Current,Total nonfarm,All size classes,State,California,Seasonally Adjusted,Map
2025-03-01,Monthly,1.7,Quits,Rate,Current,Total nonfarm,All size classes,State,District of Columbia,Seasonally Adjusted,Map
2025-03-01,Monthly,1.6666666666666667,Quits,Rate,Current,Total nonfarm,All size classes,State,Pennsylvania,Seasonally Adjusted,Map
2025-03-01,Monthly,1.6333333333333335,Quits,Rate,Current,Total nonfarm,All size classes,State,Massachusetts,Seasonally Adjusted,Map
2025-03-01,Monthly,1.5999999999999999,Quits,Rate,Current,Total nonfarm,All size classes,State,New Jersey,Seasonally Adjusted,Map
2025-03-01,Monthly,1.5666666666666667,Quits,Rate,Current,Total nonfarm,All size classes,State,Washington,Seasonally Adjusted,Map
2025-03-01,Monthly,1.5333333333333332,Quits,Rate,Current,Total nonfarm,All size classes,State,New York,Seasonally Adjusted,Map
