date,date_period_text,value,data_element_text,metric_text,date_measure_text,industry_text,sizeclass_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-04-01,Monthly,5.566666666666666,Hires,Rate,Current,Leisure and hospitality,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,4.733333333333333,Hires,Rate,Current,Professional and business services,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,4.033333333333334,Hires,Rate,Current,Construction,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,3.6333333333333333,Hires,Rate,Current,Other services,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,3.6333333333333333,Hires,Rate,Current,"Trade, transportation, and utilities",All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,3.4333333333333336,Hires,Rate,Current,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,3.3333333333333335,Hires,Rate,Current,Mining and logging,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,3.033333333333333,Hires,Rate,Current,Private education and health services,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,2.8000000000000003,Hires,Rate,Current,Information,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,2.533333333333333,Hires,Rate,Current,Manufacturing,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,2.4,Hires,Rate,Current,Financial activities,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,1.5,Hires,Rate,Current,Government,All size classes,Nation,US,Seasonally Adjusted,Bar
