date,date_period_text,value,data_element_text,metric_text,date_measure_text,industry_text,sizeclass_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-04-01,Monthly,0.149425287356322,Hires,Rate,Year-over-year,Mining and logging,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,0.1428571428571428,Hires,Rate,Year-over-year,Financial activities,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,0.058252427184465994,Hires,Rate,Year-over-year,Other services,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,0.024390243902438824,Hires,Rate,Year-over-year,Information,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,0.007092198581560183,Hires,Rate,Year-over-year,Professional and business services,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,-0.018018018018017945,Hires,Rate,Year-over-year,"Trade, transportation, and utilities",All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,-0.028301886792452824,Hires,Rate,Year-over-year,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,-0.04724409448818878,Hires,Rate,Year-over-year,Construction,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,-0.050000000000000044,Hires,Rate,Year-over-year,Manufacturing,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,-0.06249999999999989,Hires,Rate,Year-over-year,Government,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,-0.0722222222222223,Hires,Rate,Year-over-year,Leisure and hospitality,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,-0.0990099009900991,Hires,Rate,Year-over-year,Private education and health services,All size classes,Nation,US,Seasonally Adjusted,Bar
