date,date_period_text,value,data_element_text,metric_text,date_measure_text,industry_text,sizeclass_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-04-01,Monthly,4.4,Job Openings,Rate,Current,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2025-04-01,Monthly,4.3999999999999995,Job Openings,Rate,Current trail 3,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2025-03-01,Monthly,4.3,Job Openings,Rate,Current,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2025-03-01,Monthly,4.5,Job Openings,Rate,Current trail 3,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2025-02-01,Monthly,4.5,Job Openings,Rate,Current,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2025-02-01,Monthly,4.566666666666666,Job Openings,Rate,Current trail 3,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2025-01-01,Monthly,4.7,Job Openings,Rate,Current,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2025-01-01,Monthly,4.666666666666667,Job Openings,Rate,Current trail 3,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2024-12-01,Monthly,4.5,Job Openings,Rate,Current,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2024-12-01,Monthly,4.633333333333333,Job Openings,Rate,Current trail 3,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2024-11-01,Monthly,4.8,Job Openings,Rate,Current,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2024-11-01,Monthly,4.566666666666666,Job Openings,Rate,Current trail 3,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2024-10-01,Monthly,4.6,Job Openings,Rate,Current,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2024-10-01,Monthly,4.499999999999999,Job Openings,Rate,Current trail 3,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2024-09-01,Monthly,4.3,Job Openings,Rate,Current,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
