date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,industry_text,sizeclass_text,seas_adj_text,viz_type_text
2025-04-01,Monthly,5.7,Job openings,Rate,Current,Trail 3,State,Alaska,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,5.7,Job openings,Rate,Current,Trail 3,State,Minnesota,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,5.433333333333334,Job openings,Rate,Current,Trail 3,State,New Mexico,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,5.266666666666667,Job openings,Rate,Current,Trail 3,State,Montana,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,5.233333333333333,Job openings,Rate,Current,Trail 3,State,North Carolina,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,5.233333333333333,Job openings,Rate,Current,Trail 3,State,Oklahoma,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,5.133333333333334,Job openings,Rate,Current,Trail 3,State,West Virginia,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,5.066666666666666,Job openings,Rate,Current,Trail 3,State,Arkansas,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,5,Job openings,Rate,Current,Trail 3,State,Georgia,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,5,Job openings,Rate,Current,Trail 3,State,New Jersey,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,5,Job openings,Rate,Current,Trail 3,State,Wyoming,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.966666666666667,Job openings,Rate,Current,Trail 3,State,North Dakota,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.933333333333334,Job openings,Rate,Current,Trail 3,State,Arizona,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.933333333333334,Job openings,Rate,Current,Trail 3,State,Idaho,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.933333333333334,Job openings,Rate,Current,Trail 3,State,Louisiana,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.866666666666666,Job openings,Rate,Current,Trail 3,State,Kansas,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.866666666666666,Job openings,Rate,Current,Trail 3,State,Rhode Island,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.833333333333333,Job openings,Rate,Current,Trail 3,State,Mississippi,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.833333333333333,Job openings,Rate,Current,Trail 3,State,Vermont,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.8,Job openings,Rate,Current,Trail 3,State,Ohio,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.766666666666667,Job openings,Rate,Current,Trail 3,State,Alabama,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.733333333333333,Job openings,Rate,Current,Trail 3,State,South Carolina,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.733333333333333,Job openings,Rate,Current,Trail 3,State,Virginia,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.7,Job openings,Rate,Current,Trail 3,State,Colorado,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.7,Job openings,Rate,Current,Trail 3,State,Kentucky,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.7,Job openings,Rate,Current,Trail 3,State,Missouri,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.633333333333333,Job openings,Rate,Current,Trail 3,State,Massachusetts,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.6000000000000005,Job openings,Rate,Current,Trail 3,State,Maine,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.533333333333334,Job openings,Rate,Current,Trail 3,State,New Hampshire,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.533333333333333,Job openings,Rate,Current,Trail 3,State,New York,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.5,Job openings,Rate,Current,Trail 3,State,Maryland,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.5,Job openings,Rate,Current,Trail 3,State,Michigan,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.5,Job openings,Rate,Current,Trail 3,State,Oregon,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.5,Job openings,Rate,Current,Trail 3,State,Tennessee,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.466666666666667,Job openings,Rate,Current,Trail 3,State,Utah,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.433333333333334,Job openings,Rate,Current,Trail 3,State,Connecticut,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.433333333333334,Job openings,Rate,Current,Trail 3,State,South Dakota,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.3999999999999995,Job openings,Rate,Current,Trail 3,State,Illinois,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.3999999999999995,Job openings,Rate,Current,Trail 3,State,Indiana,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,4.3999999999999995,Job openings,Rate,Current,Trail 3,State,Pennsylvania,Total nonfarm,All size classes,Seasonally adjusted,Map
