date,Layoffs Rate,Quits Rate,state_abb,fips_code,region,date_period_text,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,viz_type_text
2025-04-01,1.8,3.1,AK,02,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Alaska,Scatter
2025-04-01,1.7666666666666666,2.8666666666666667,MT,30,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Montana,Scatter
2025-04-01,1.5666666666666667,1.5999999999999999,NJ,34,Northeast,Monthly,Labor leverage,Ratio,Current,Trail 3,State,New Jersey,Scatter
2025-04-01,1.4666666666666668,2.1666666666666665,NV,32,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Nevada,Scatter
2025-04-01,1.4333333333333333,2.7000000000000006,WY,56,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Wyoming,Scatter
2025-04-01,1.4000000000000001,2.2,VT,50,Northeast,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Vermont,Scatter
2025-04-01,1.3666666666666665,1.9000000000000001,CT,09,Northeast,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Connecticut,Scatter
2025-04-01,1.3666666666666665,2.1999999999999997,ME,23,Northeast,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Maine,Scatter
2025-04-01,1.3666666666666665,2.1,NH,33,Northeast,Monthly,Labor leverage,Ratio,Current,Trail 3,State,New Hampshire,Scatter
2025-04-01,1.3333333333333333,2.1,RI,44,Northeast,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Rhode Island,Scatter
2025-04-01,1.3333333333333333,2.466666666666667,UT,49,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Utah,Scatter
2025-04-01,1.3,2.566666666666667,ID,16,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Idaho,Scatter
2025-04-01,1.3,2.5666666666666664,WV,54,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,West Virginia,Scatter
2025-04-01,1.2666666666666666,2.6999999999999997,IN,18,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Indiana,Scatter
2025-04-01,1.2333333333333334,1.5666666666666667,MA,25,Northeast,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Massachusetts,Scatter
2025-04-01,1.2333333333333334,2.4333333333333336,ND,38,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,North Dakota,Scatter
2025-04-01,1.2333333333333334,2.3000000000000003,TN,47,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Tennessee,Scatter
2025-04-01,1.2,2.3000000000000003,AR,05,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Arkansas,Scatter
2025-04-01,1.2,2.433333333333333,FL,12,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Florida,Scatter
2025-04-01,1.1666666666666667,1.9666666666666668,CO,08,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Colorado,Scatter
2025-04-01,1.1666666666666667,2,GA,13,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Georgia,Scatter
2025-04-01,1.1666666666666667,2.033333333333333,KY,21,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Kentucky,Scatter
2025-04-01,1.1666666666666667,2.4666666666666663,LA,22,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Louisiana,Scatter
2025-04-01,1.1666666666666667,2.6333333333333333,SD,46,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,South Dakota,Scatter
2025-04-01,1.1666666666666667,2.0333333333333337,VA,51,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Virginia,Scatter
