date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,industry_text,sizeclass_text,seas_adj_text,viz_type_text
2025-04-01,Monthly,2.4933333333333327,Labor leverage,Ratio,Current,Trail 3,State,Missouri,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.4499999999999997,Labor leverage,Ratio,Current,Trail 3,State,Minnesota,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.4133333333333327,Labor leverage,Ratio,Current,Trail 3,State,Oklahoma,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.3633333333333324,Labor leverage,Ratio,Current,Trail 3,State,South Carolina,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.3233333333333324,Labor leverage,Ratio,Current,Trail 3,State,South Dakota,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.263333333333333,Labor leverage,Ratio,Current,Trail 3,State,Kansas,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.239999999999999,Labor leverage,Ratio,Current,Trail 3,State,Wisconsin,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.186666666666666,Labor leverage,Ratio,Current,Trail 3,State,Ohio,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.1766666666666663,Labor leverage,Ratio,Current,Trail 3,State,Oregon,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.1666666666666665,Labor leverage,Ratio,Current,Trail 3,State,Nebraska,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.163333333333333,Labor leverage,Ratio,Current,Trail 3,State,Florida,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.1466666666666665,Labor leverage,Ratio,Current,Trail 3,State,Alabama,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.1266666666666656,Labor leverage,Ratio,Current,Trail 3,State,Texas,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.1199999999999997,Labor leverage,Ratio,Current,Trail 3,State,Indiana,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.1099999999999994,Labor leverage,Ratio,Current,Trail 3,State,Louisiana,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.1099999999999994,Labor leverage,Ratio,Current,Trail 3,State,Mississippi,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.0866666666666664,Labor leverage,Ratio,Current,Trail 3,State,Iowa,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.0799999999999996,Labor leverage,Ratio,Current,Trail 3,State,Illinois,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.066666666666667,Labor leverage,Ratio,Current,Trail 3,State,Delaware,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.0666666666666655,Labor leverage,Ratio,Current,Trail 3,State,West Virginia,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.056666666666666,Labor leverage,Ratio,Current,Trail 3,State,Idaho,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.0366666666666666,Labor leverage,Ratio,Current,Trail 3,State,Arkansas,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,2.003333333333333,Labor leverage,Ratio,Current,Trail 3,State,Michigan,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,1.9999999999999998,Labor leverage,Ratio,Current,Trail 3,State,New York,Total nonfarm,All size classes,Seasonally adjusted,Map
2025-04-01,Monthly,1.9699999999999989,Labor leverage,Ratio,Current,Trail 3,State,Tennessee,Total nonfarm,All size classes,Seasonally adjusted,Map
