date,date_period_text,value,data_element_text,metric_text,date_measure_text,industry_text,sizeclass_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-04-01,Monthly,0.4285714285714284,Layoffs And Discharges,Rate,Year-over-year,Other services,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,0.2758620689655171,Layoffs And Discharges,Rate,Year-over-year,Information,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,0.1724137931034484,Layoffs And Discharges,Rate,Year-over-year,"Trade, transportation, and utilities",All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,0.16666666666666674,Layoffs And Discharges,Rate,Year-over-year,Professional and business services,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,0.10526315789473673,Layoffs And Discharges,Rate,Year-over-year,Financial activities,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,0.06896551724137923,Layoffs And Discharges,Rate,Year-over-year,Mining and logging,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,0.032258064516129004,Layoffs And Discharges,Rate,Year-over-year,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,-0.045454545454545414,Layoffs And Discharges,Rate,Year-over-year,Private education and health services,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,-0.08333333333333348,Layoffs And Discharges,Rate,Year-over-year,Government,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,-0.10344827586206895,Layoffs And Discharges,Rate,Year-over-year,Manufacturing,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,-0.12244897959183654,Layoffs And Discharges,Rate,Year-over-year,Leisure and hospitality,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,-0.12307692307692297,Layoffs And Discharges,Rate,Year-over-year,Construction,All size classes,Nation,US,Seasonally Adjusted,Bar
