date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,industry_text,sizeclass_text,seas_adj_text,viz_type_text
2025-04-01,Monthly,2,Quits,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-04-01,Monthly,2.033333333333333,Quits,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-03-01,Monthly,2.1,Quits,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-03-01,Monthly,2.033333333333333,Quits,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-02-01,Monthly,2,Quits,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-02-01,Monthly,1.9666666666666666,Quits,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-01-01,Monthly,2,Quits,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-01-01,Monthly,1.933333333333333,Quits,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-12-01,Monthly,1.9,Quits,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-12-01,Monthly,1.933333333333333,Quits,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-11-01,Monthly,1.9,Quits,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-11-01,Monthly,1.933333333333333,Quits,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-10-01,Monthly,2,Quits,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-10-01,Monthly,1.9666666666666666,Quits,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
