date,date_period_text,value,data_element_text,metric_text,date_measure_text,industry_text,sizeclass_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-04-01,Monthly,0.19047619047619047,Quits,Rate,Year-over-year,Other services,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,0.0769230769230771,Quits,Rate,Year-over-year,Financial activities,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,0.034482758620689724,Quits,Rate,Year-over-year,Construction,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,0.03333333333333344,Quits,Rate,Year-over-year,Mining and logging,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,0,Quits,Rate,Year-over-year,Government,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,-0.05128205128205132,Quits,Rate,Year-over-year,Professional and business services,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,-0.05555555555555547,Quits,Rate,Year-over-year,Leisure and hospitality,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,-0.05633802816901423,Quits,Rate,Year-over-year,"Trade, transportation, and utilities",All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,-0.06153846153846154,Quits,Rate,Year-over-year,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,-0.09375,Quits,Rate,Year-over-year,Private education and health services,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,-0.10416666666666663,Quits,Rate,Year-over-year,Manufacturing,All size classes,Nation,US,Seasonally Adjusted,Bar
2025-04-01,Monthly,-0.2093023255813954,Quits,Rate,Year-over-year,Information,All size classes,Nation,US,Seasonally Adjusted,Bar
