date,date_period_text,value,data_element_text,metric_text,date_measure_text,industry_text,sizeclass_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-04-01,Monthly,1,Unemployed Persons Per Job Opening,Rate,Current,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2025-04-01,Monthly,0.9666666666666667,Unemployed Persons Per Job Opening,Rate,Current trail 3,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2025-03-01,Monthly,1,Unemployed Persons Per Job Opening,Rate,Current,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2025-03-01,Monthly,0.9333333333333332,Unemployed Persons Per Job Opening,Rate,Current trail 3,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2025-02-01,Monthly,0.9,Unemployed Persons Per Job Opening,Rate,Current,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2025-02-01,Monthly,0.9,Unemployed Persons Per Job Opening,Rate,Current trail 3,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2025-01-01,Monthly,0.9,Unemployed Persons Per Job Opening,Rate,Current,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2025-01-01,Monthly,0.9,Unemployed Persons Per Job Opening,Rate,Current trail 3,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2024-12-01,Monthly,0.9,Unemployed Persons Per Job Opening,Rate,Current,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2024-12-01,Monthly,0.9,Unemployed Persons Per Job Opening,Rate,Current trail 3,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2024-11-01,Monthly,0.9,Unemployed Persons Per Job Opening,Rate,Current,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2024-11-01,Monthly,0.9333333333333332,Unemployed Persons Per Job Opening,Rate,Current trail 3,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2024-10-01,Monthly,0.9,Unemployed Persons Per Job Opening,Rate,Current,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2024-10-01,Monthly,0.9333333333333332,Unemployed Persons Per Job Opening,Rate,Current trail 3,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2024-09-01,Monthly,1,Unemployed Persons Per Job Opening,Rate,Current,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2024-09-01,Monthly,0.9333333333333332,Unemployed Persons Per Job Opening,Rate,Current trail 3,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2024-08-01,Monthly,0.9,Unemployed Persons Per Job Opening,Rate,Current,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2024-08-01,Monthly,0.9,Unemployed Persons Per Job Opening,Rate,Current trail 3,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
2024-07-01,Monthly,0.9,Unemployed Persons Per Job Opening,Rate,Current,Total nonfarm,All size classes,Nation,US,Seasonally Adjusted,Time series line
