date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,industry_text,sizeclass_text,seas_adj_text,viz_type_text
2025-05-01,Monthly,3.1933333333333334,Labor leverage,Ratio,Current,Trail 3,Nation,US,Leisure and hospitality,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,3.059999999999999,Labor leverage,Ratio,Current,Trail 3,Nation,US,Private education and health services,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,2.4266666666666663,Labor leverage,Ratio,Current,Trail 3,Nation,US,Other services,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,2.183333333333333,Labor leverage,Ratio,Current,Trail 3,Nation,US,Financial activities,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,2.1133333333333333,Labor leverage,Ratio,Current,Trail 3,Nation,US,Government,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,2.083333333333333,Labor leverage,Ratio,Current,Trail 3,Nation,US,"Trade, transportation, and utilities",All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,1.9866666666666664,Labor leverage,Ratio,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,1.903333333333333,Labor leverage,Ratio,Current,Trail 3,Nation,US,Mining and logging,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,1.5299999999999996,Labor leverage,Ratio,Current,Trail 3,Nation,US,Manufacturing,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,1.323333333333333,Labor leverage,Ratio,Current,Trail 3,Nation,US,Professional and business services,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,1.0799999999999998,Labor leverage,Ratio,Current,Trail 3,Nation,US,Information,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,1.0333333333333334,Labor leverage,Ratio,Current,Trail 3,Nation,US,Construction,All size classes,Seasonally adjusted,Bar
