date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,industry_text,sizeclass_text,seas_adj_text,viz_type_text
2025-05-01,Monthly,3.4,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-05-01,Monthly,3.4333333333333336,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-04-01,Monthly,3.5,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-04-01,Monthly,3.4333333333333336,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-03-01,Monthly,3.4,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-03-01,Monthly,3.4000000000000004,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-02-01,Monthly,3.4,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-02-01,Monthly,3.4000000000000004,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-01-01,Monthly,3.4,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-01-01,Monthly,3.366666666666667,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-12-01,Monthly,3.4,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-12-01,Monthly,3.366666666666667,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-11-01,Monthly,3.3,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-11-01,Monthly,3.4000000000000004,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-10-01,Monthly,3.4,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-10-01,Monthly,3.4000000000000004,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-09-01,Monthly,3.5,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-09-01,Monthly,3.4000000000000004,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-08-01,Monthly,3.3,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-08-01,Monthly,3.3000000000000003,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-07-01,Monthly,3.4,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-07-01,Monthly,3.366666666666667,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-06-01,Monthly,3.2,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-06-01,Monthly,3.4000000000000004,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-05-01,Monthly,3.5,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-05-01,Monthly,3.5,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-04-01,Monthly,3.5,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-04-01,Monthly,3.5333333333333337,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-03-01,Monthly,3.5,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-03-01,Monthly,3.5333333333333337,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-02-01,Monthly,3.6,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-02-01,Monthly,3.566666666666667,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-01-01,Monthly,3.5,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-01-01,Monthly,3.5333333333333337,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-12-01,Monthly,3.6,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-12-01,Monthly,3.566666666666667,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-11-01,Monthly,3.5,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-11-01,Monthly,3.6,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-10-01,Monthly,3.6,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-10-01,Monthly,3.6666666666666674,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-09-01,Monthly,3.7,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-09-01,Monthly,3.6666666666666674,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-08-01,Monthly,3.7,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-08-01,Monthly,3.7000000000000006,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-07-01,Monthly,3.6,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-07-01,Monthly,3.766666666666667,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-06-01,Monthly,3.8,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-06-01,Monthly,3.8333333333333335,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-05-01,Monthly,3.9,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-05-01,Monthly,3.8333333333333335,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-04-01,Monthly,3.8,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-04-01,Monthly,3.8333333333333335,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-03-01,Monthly,3.8,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-03-01,Monthly,3.9333333333333336,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-02-01,Monthly,3.9,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-02-01,Monthly,4,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-01-01,Monthly,4.1,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-01-01,Monthly,4.033333333333334,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-12-01,Monthly,4,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-12-01,Monthly,4,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-11-01,Monthly,4,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-11-01,Monthly,4,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-10-01,Monthly,4,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-10-01,Monthly,4.066666666666667,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-09-01,Monthly,4,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-09-01,Monthly,4.133333333333334,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-08-01,Monthly,4.2,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-08-01,Monthly,4.233333333333333,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-07-01,Monthly,4.2,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-07-01,Monthly,4.266666666666667,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-06-01,Monthly,4.3,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-06-01,Monthly,4.333333333333333,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-05-01,Monthly,4.3,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-05-01,Monthly,4.366666666666667,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-04-01,Monthly,4.4,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-04-01,Monthly,4.433333333333334,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-03-01,Monthly,4.4,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-03-01,Monthly,4.4,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-02-01,Monthly,4.5,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-02-01,Monthly,4.4,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-01-01,Monthly,4.3,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-01-01,Monthly,4.433333333333334,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-12-01,Monthly,4.4,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-12-01,Monthly,4.5,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-11-01,Monthly,4.6,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-11-01,Monthly,4.533333333333334,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-10-01,Monthly,4.5,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-10-01,Monthly,4.433333333333334,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-09-01,Monthly,4.5,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-09-01,Monthly,4.466666666666667,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-08-01,Monthly,4.3,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-08-01,Monthly,4.466666666666667,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-07-01,Monthly,4.6,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-07-01,Monthly,4.3999999999999995,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-06-01,Monthly,4.5,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-06-01,Monthly,4.3,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-05-01,Monthly,4.1,Hires,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-05-01,Monthly,4.233333333333333,Hires,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
