date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,industry_text,sizeclass_text,seas_adj_text,viz_type_text
2025-05-01,Monthly,1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-05-01,Monthly,1.0333333333333334,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-04-01,Monthly,1.1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-04-01,Monthly,1.0666666666666667,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-03-01,Monthly,1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-03-01,Monthly,1.0666666666666667,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-02-01,Monthly,1.1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-02-01,Monthly,1.1,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-01-01,Monthly,1.1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2025-01-01,Monthly,1.1,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-12-01,Monthly,1.1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-12-01,Monthly,1.1,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-11-01,Monthly,1.1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-11-01,Monthly,1.1333333333333335,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-10-01,Monthly,1.1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-10-01,Monthly,1.1333333333333335,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-09-01,Monthly,1.2,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-09-01,Monthly,1.1333333333333335,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-08-01,Monthly,1.1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-08-01,Monthly,1.0333333333333334,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-07-01,Monthly,1.1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-07-01,Monthly,1.0333333333333334,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-06-01,Monthly,0.9,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-06-01,Monthly,1,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-05-01,Monthly,1.1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-05-01,Monthly,1.0333333333333334,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-04-01,Monthly,1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-04-01,Monthly,1.0333333333333334,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-03-01,Monthly,1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-03-01,Monthly,1.0666666666666667,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-02-01,Monthly,1.1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-02-01,Monthly,1.0666666666666667,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-01-01,Monthly,1.1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2024-01-01,Monthly,1.0333333333333334,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-12-01,Monthly,1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-12-01,Monthly,1,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-11-01,Monthly,1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-11-01,Monthly,1,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-10-01,Monthly,1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-10-01,Monthly,1.0333333333333334,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-09-01,Monthly,1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-09-01,Monthly,1.0666666666666667,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-08-01,Monthly,1.1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-08-01,Monthly,1.1,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-07-01,Monthly,1.1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-07-01,Monthly,1.0666666666666667,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-06-01,Monthly,1.1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-06-01,Monthly,1.0666666666666667,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-05-01,Monthly,1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-05-01,Monthly,1.0999999999999999,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-04-01,Monthly,1.1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-04-01,Monthly,1.0999999999999999,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-03-01,Monthly,1.2,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-03-01,Monthly,1.1333333333333333,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-02-01,Monthly,1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-02-01,Monthly,1.0666666666666667,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-01-01,Monthly,1.2,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2023-01-01,Monthly,1.0333333333333334,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
